Categoria: Tutte le categorie

Mese,Sushi: (Tutto il mondo),Ramen: (Tutto il mondo)
2004-01,23,2
2004-02,23,2
2004-03,21,2
2004-04,22,2
2004-05,22,2
2004-06,21,2
2004-07,23,2
2004-08,23,3
2004-09,22,2
2004-10,23,2
2004-11,22,2
2004-12,25,2
2005-01,25,2
2005-02,27,3
2005-03,25,2
2005-04,25,3
2005-05,24,3
2005-06,23,3
2005-07,26,3
2005-08,28,3
2005-09,25,3
2005-10,26,3
2005-11,26,3
2005-12,27,3
2006-01,30,3
2006-02,32,3
2006-03,31,3
2006-04,29,3
2006-05,28,3
2006-06,29,3
2006-07,31,3
2006-08,30,3
2006-09,29,3
2006-10,31,3
2006-11,30,3
2006-12,31,3
2007-01,34,3
2007-02,33,3
2007-03,33,3
2007-04,31,3
2007-05,30,3
2007-06,33,3
2007-07,35,3
2007-08,33,3
2007-09,30,3
2007-10,32,3
2007-11,32,3
2007-12,34,3
2008-01,36,3
2008-02,39,3
2008-03,35,3
2008-04,34,3
2008-05,33,3
2008-06,35,3
2008-07,35,3
2008-08,37,4
2008-09,32,3
2008-10,33,3
2008-11,35,3
2008-12,36,3
2009-01,37,4
2009-02,37,3
2009-03,37,4
2009-04,35,3
2009-05,36,4
2009-06,37,4
2009-07,40,4
2009-08,42,4
2009-09,36,4
2009-10,40,4
2009-11,38,4
2009-12,37,4
2010-01,42,4
2010-02,42,4
2010-03,41,4
2010-04,41,4
2010-05,41,4
2010-06,39,4
2010-07,46,4
2010-08,47,5
2010-09,43,4
2010-10,45,4
2010-11,46,4
2010-12,47,4
2011-01,51,5
2011-02,54,4
2011-03,54,4
2011-04,51,4
2011-05,50,5
2011-06,52,5
2011-07,52,5
2011-08,49,5
2011-09,49,5
2011-10,49,5
2011-11,49,6
2011-12,53,5
2012-01,56,6
2012-02,55,5
2012-03,55,5
2012-04,53,5
2012-05,50,5
2012-06,53,6
2012-07,56,6
2012-08,57,7
2012-09,55,6
2012-10,51,6
2012-11,50,6
2012-12,54,6
2013-01,57,7
2013-02,59,6
2013-03,59,6
2013-04,55,6
2013-05,56,6
2013-06,55,6
2013-07,58,7
2013-08,58,8
2013-09,55,7
2013-10,51,7
2013-11,55,7
2013-12,57,7
2014-01,61,8
2014-02,64,8
2014-03,61,8
2014-04,57,7
2014-05,58,8
2014-06,59,7
2014-07,58,9
2014-08,64,9
2014-09,60,9
2014-10,56,8
2014-11,58,9
2014-12,58,9
2015-01,61,10
2015-02,64,9
2015-03,62,9
2015-04,60,9
2015-05,62,9
2015-06,59,9
2015-07,64,9
2015-08,64,10
2015-09,61,10
2015-10,61,10
2015-11,61,10
2015-12,62,10
2016-01,66,11
2016-02,70,11
2016-03,67,10
2016-04,64,12
2016-05,68,11
2016-06,65,11
2016-07,66,11
2016-08,64,12
2016-09,68,13
2016-10,66,13
2016-11,65,13
2016-12,66,13
2017-01,72,14
2017-02,74,14
2017-03,73,14
2017-04,74,13
2017-05,69,14
2017-06,73,14
2017-07,74,15
2017-08,74,15
2017-09,73,15
2017-10,71,17
2017-11,73,17
2017-12,78,17
2018-01,77,19
2018-02,78,18
2018-03,76,18
2018-04,71,17
2018-05,71,16
2018-06,76,17
2018-07,75,16
2018-08,75,18
2018-09,71,18
2018-10,70,19
2018-11,70,19
2018-12,79,20
2019-01,76,21
2019-02,80,20
2019-03,81,20
2019-04,74,19
2019-05,75,19
2019-06,80,18
2019-07,78,19
2019-08,81,19
2019-09,75,20
2019-10,73,20
2019-11,75,22
2019-12,77,23
2020-01,82,23
2020-02,81,23
2020-03,57,18
2020-04,66,18
2020-05,84,18
2020-06,94,18
2020-07,92,19
2020-08,91,20
2020-09,85,20
2020-10,82,20
2020-11,79,20
2020-12,85,19
2021-01,89,23
2021-02,94,22
2021-03,91,21
2021-04,87,21
2021-05,93,21
2021-06,95,21
2021-07,98,23
2021-08,97,23
2021-09,91,22
2021-10,87,25
2021-11,90,24
2021-12,97,26
2022-01,96,28
2022-02,100,27
2022-03,88,25
2022-04,88,25
2022-05,87,24
2022-06,91,24
2022-07,92,25
2022-08,87,24
2022-09,82,24
2022-10,83,26
2022-11,76,26
2022-12,90,30
2023-01,93,29
2023-02,96,29
2023-03,82,27
2023-04,89,27
2023-05,80,25
2023-06,87,26
2023-07,93,26
2023-08,87,26
2023-09,82,24
2023-10,82,27
2023-11,82,28
2023-12,89,30
2024-01,84,35
2024-02,95,32
2024-03,96,30
2024-04,87,30
2024-05,89,27
2024-06,90,29
2024-07,91,28
2024-08,93,28
