Categoria: Tutte le categorie

Mese,Sashimi: (Tutto il mondo),Takoyaki: (Tutto il mondo)
2004-01,27,0
2004-02,30,0
2004-03,29,0
2004-04,27,0
2004-05,27,4
2004-06,27,4
2004-07,26,3
2004-08,32,3
2004-09,29,4
2004-10,28,2
2004-11,27,4
2004-12,28,3
2005-01,29,4
2005-02,29,2
2005-03,27,3
2005-04,27,3
2005-05,28,2
2005-06,29,4
2005-07,30,4
2005-08,29,3
2005-09,25,3
2005-10,27,4
2005-11,25,3
2005-12,31,3
2006-01,32,4
2006-02,32,4
2006-03,36,3
2006-04,29,4
2006-05,28,6
2006-06,32,5
2006-07,30,6
2006-08,31,4
2006-09,28,4
2006-10,30,4
2006-11,31,4
2006-12,31,5
2007-01,32,4
2007-02,31,4
2007-03,29,4
2007-04,30,4
2007-05,34,4
2007-06,33,5
2007-07,34,5
2007-08,36,5
2007-09,31,5
2007-10,29,5
2007-11,31,5
2007-12,31,5
2008-01,37,5
2008-02,34,5
2008-03,35,6
2008-04,32,6
2008-05,33,6
2008-06,36,6
2008-07,36,6
2008-08,36,6
2008-09,34,6
2008-10,36,6
2008-11,34,6
2008-12,36,7
2009-01,41,7
2009-02,41,8
2009-03,44,7
2009-04,39,7
2009-05,43,8
2009-06,39,8
2009-07,41,9
2009-08,46,9
2009-09,40,8
2009-10,41,8
2009-11,40,8
2009-12,40,7
2010-01,49,8
2010-02,45,8
2010-03,45,9
2010-04,41,9
2010-05,42,10
2010-06,41,9
2010-07,43,14
2010-08,43,9
2010-09,42,9
2010-10,41,10
2010-11,41,9
2010-12,42,11
2011-01,45,10
2011-02,48,8
2011-03,48,10
2011-04,45,9
2011-05,44,10
2011-06,41,10
2011-07,49,11
2011-08,43,11
2011-09,43,10
2011-10,42,10
2011-11,40,10
2011-12,43,11
2012-01,52,12
2012-02,47,11
2012-03,52,12
2012-04,52,12
2012-05,49,12
2012-06,54,12
2012-07,54,14
2012-08,56,15
2012-09,54,13
2012-10,50,13
2012-11,50,13
2012-12,53,13
2013-01,60,13
2013-02,58,13
2013-03,58,13
2013-04,55,13
2013-05,56,13
2013-06,57,13
2013-07,61,16
2013-08,59,14
2013-09,54,19
2013-10,53,22
2013-11,53,17
2013-12,53,17
2014-01,63,18
2014-02,61,16
2014-03,66,17
2014-04,59,17
2014-05,62,17
2014-06,60,17
2014-07,62,18
2014-08,63,18
2014-09,70,18
2014-10,58,18
2014-11,57,21
2014-12,59,21
2015-01,65,18
2015-02,66,18
2015-03,61,19
2015-04,69,20
2015-05,64,20
2015-06,64,20
2015-07,72,20
2015-08,68,23
2015-09,63,20
2015-10,64,20
2015-11,62,20
2015-12,69,21
2016-01,65,21
2016-02,65,21
2016-03,65,21
2016-04,63,23
2016-05,62,22
2016-06,62,23
2016-07,67,26
2016-08,68,23
2016-09,64,23
2016-10,62,23
2016-11,59,22
2016-12,62,23
2017-01,70,29
2017-02,72,25
2017-03,71,26
2017-04,67,26
2017-05,66,29
2017-06,66,25
2017-07,68,30
2017-08,69,30
2017-09,66,26
2017-10,65,28
2017-11,66,29
2017-12,70,29
2018-01,76,30
2018-02,73,30
2018-03,75,31
2018-04,69,29
2018-05,67,31
2018-06,69,28
2018-07,74,33
2018-08,78,30
2018-09,69,31
2018-10,69,30
2018-11,66,30
2018-12,74,31
2019-01,78,30
2019-02,81,33
2019-03,78,32
2019-04,68,32
2019-05,74,31
2019-06,75,32
2019-07,82,36
2019-08,78,34
2019-09,74,32
2019-10,73,32
2019-11,72,33
2019-12,77,36
2020-01,83,34
2020-02,83,33
2020-03,58,28
2020-04,73,36
2020-05,90,37
2020-06,89,42
2020-07,100,47
2020-08,89,44
2020-09,85,43
2020-10,80,43
2020-11,78,42
2020-12,86,45
2021-01,93,49
2021-02,93,50
2021-03,91,47
2021-04,93,45
2021-05,95,43
2021-06,93,53
2021-07,100,47
2021-08,94,49
2021-09,88,46
2021-10,83,46
2021-11,81,45
2021-12,88,44
2022-01,99,48
2022-02,98,50
2022-03,89,47
2022-04,94,46
2022-05,90,47
2022-06,89,50
2022-07,97,52
2022-08,92,48
2022-09,84,46
2022-10,79,48
2022-11,77,47
2022-12,99,52
2023-01,87,52
2023-02,90,55
2023-03,87,49
2023-04,85,49
2023-05,82,50
2023-06,88,49
2023-07,92,51
2023-08,90,50
2023-09,83,48
2023-10,79,47
2023-11,76,45
2023-12,90,48
2024-01,91,51
2024-02,89,51
2024-03,93,50
2024-04,85,48
2024-05,86,47
2024-06,90,47
2024-07,91,49
2024-08,96,48
