Categoria: Tutte le categorie

Mese,Tempura: (Tutto il mondo),Udon: (Tutto il mondo)
2004-01,24,15
2004-02,25,14
2004-03,21,12
2004-04,22,12
2004-05,20,16
2004-06,21,13
2004-07,23,17
2004-08,24,17
2004-09,25,16
2004-10,25,12
2004-11,23,15
2004-12,26,14
2005-01,25,17
2005-02,25,18
2005-03,25,17
2005-04,25,14
2005-05,23,14
2005-06,25,13
2005-07,23,17
2005-08,27,15
2005-09,27,15
2005-10,25,17
2005-11,24,17
2005-12,25,17
2006-01,28,20
2006-02,27,17
2006-03,24,18
2006-04,24,20
2006-05,23,18
2006-06,24,17
2006-07,26,24
2006-08,26,51
2006-09,24,41
2006-10,27,23
2006-11,26,17
2006-12,27,16
2007-01,29,19
2007-02,29,19
2007-03,26,25
2007-04,26,22
2007-05,25,20
2007-06,24,20
2007-07,27,20
2007-08,27,21
2007-09,26,19
2007-10,25,19
2007-11,26,18
2007-12,28,19
2008-01,29,20
2008-02,29,19
2008-03,27,26
2008-04,25,19
2008-05,27,18
2008-06,28,18
2008-07,28,20
2008-08,28,19
2008-09,26,18
2008-10,26,18
2008-11,25,19
2008-12,29,20
2009-01,30,22
2009-02,30,22
2009-03,31,21
2009-04,33,18
2009-05,27,19
2009-06,29,19
2009-07,30,20
2009-08,32,21
2009-09,28,21
2009-10,28,21
2009-11,27,21
2009-12,29,21
2010-01,30,23
2010-02,31,22
2010-03,27,21
2010-04,29,21
2010-05,27,22
2010-06,26,19
2010-07,30,20
2010-08,32,21
2010-09,27,22
2010-10,29,21
2010-11,30,21
2010-12,32,21
2011-01,33,25
2011-02,35,23
2011-03,33,22
2011-04,29,22
2011-05,30,21
2011-06,29,20
2011-07,36,22
2011-08,35,23
2011-09,33,21
2011-10,34,23
2011-11,34,23
2011-12,38,22
2012-01,36,28
2012-02,37,25
2012-03,39,26
2012-04,36,22
2012-05,36,22
2012-06,35,24
2012-07,39,25
2012-08,38,26
2012-09,37,28
2012-10,36,26
2012-11,35,25
2012-12,38,25
2013-01,40,31
2013-02,40,28
2013-03,40,31
2013-04,40,28
2013-05,40,27
2013-06,39,26
2013-07,41,29
2013-08,42,29
2013-09,37,29
2013-10,37,28
2013-11,36,29
2013-12,40,30
2014-01,43,35
2014-02,42,34
2014-03,41,32
2014-04,42,30
2014-05,40,30
2014-06,40,27
2014-07,41,30
2014-08,44,32
2014-09,41,31
2014-10,39,32
2014-11,37,34
2014-12,41,33
2015-01,43,38
2015-02,46,36
2015-03,42,36
2015-04,46,35
2015-05,42,35
2015-06,41,34
2015-07,46,35
2015-08,45,35
2015-09,41,34
2015-10,41,38
2015-11,40,38
2015-12,46,40
2016-01,44,43
2016-02,46,44
2016-03,43,40
2016-04,44,39
2016-05,43,39
2016-06,44,40
2016-07,44,39
2016-08,42,38
2016-09,44,41
2016-10,43,51
2016-11,42,49
2016-12,45,51
2017-01,50,50
2017-02,52,48
2017-03,48,47
2017-04,46,46
2017-05,46,44
2017-06,50,47
2017-07,50,47
2017-08,47,47
2017-09,46,47
2017-10,46,49
2017-11,47,49
2017-12,51,51
2018-01,52,56
2018-02,55,56
2018-03,55,56
2018-04,54,52
2018-05,51,52
2018-06,50,53
2018-07,53,51
2018-08,51,51
2018-09,50,53
2018-10,49,53
2018-11,46,54
2018-12,52,57
2019-01,52,62
2019-02,60,60
2019-03,56,65
2019-04,52,57
2019-05,51,59
2019-06,52,59
2019-07,55,60
2019-08,55,58
2019-09,51,57
2019-10,51,58
2019-11,55,63
2019-12,58,63
2020-01,57,69
2020-02,54,63
2020-03,49,50
2020-04,68,54
2020-05,73,59
2020-06,69,61
2020-07,66,61
2020-08,65,63
2020-09,59,58
2020-10,64,61
2020-11,56,60
2020-12,67,60
2021-01,71,72
2021-02,72,66
2021-03,65,66
2021-04,65,65
2021-05,66,67
2021-06,64,64
2021-07,71,68
2021-08,70,68
2021-09,60,63
2021-10,62,73
2021-11,56,73
2021-12,62,72
2022-01,70,89
2022-02,68,84
2022-03,60,79
2022-04,65,90
2022-05,59,81
2022-06,59,77
2022-07,66,79
2022-08,61,72
2022-09,56,75
2022-10,60,82
2022-11,55,79
2022-12,61,80
2023-01,66,91
2023-02,64,93
2023-03,60,83
2023-04,63,88
2023-05,57,81
2023-06,63,82
2023-07,66,86
2023-08,65,83
2023-09,62,88
2023-10,59,85
2023-11,57,88
2023-12,63,89
2024-01,65,97
2024-02,67,100
2024-03,67,100
2024-04,61,98
2024-05,63,91
2024-06,61,88
2024-07,64,88
2024-08,66,87
