Categoria: Tutte le categorie

Mese,Gyoza: (Tutto il mondo),Mochi: (Tutto il mondo)
2004-01,2,9
2004-02,2,6
2004-03,3,8
2004-04,2,7
2004-05,2,7
2004-06,3,8
2004-07,1,8
2004-08,2,7
2004-09,2,9
2004-10,2,8
2004-11,2,7
2004-12,2,10
2005-01,3,10
2005-02,3,10
2005-03,3,9
2005-04,3,8
2005-05,2,9
2005-06,2,8
2005-07,2,8
2005-08,2,8
2005-09,2,8
2005-10,3,7
2005-11,3,8
2005-12,3,9
2006-01,3,9
2006-02,2,8
2006-03,3,8
2006-04,3,8
2006-05,2,8
2006-06,3,7
2006-07,2,7
2006-08,2,7
2006-09,3,8
2006-10,3,8
2006-11,2,8
2006-12,3,9
2007-01,3,9
2007-02,3,9
2007-03,3,8
2007-04,2,9
2007-05,2,9
2007-06,2,8
2007-07,3,9
2007-08,3,8
2007-09,2,8
2007-10,2,7
2007-11,2,8
2007-12,2,10
2008-01,3,10
2008-02,4,9
2008-03,3,9
2008-04,3,9
2008-05,3,10
2008-06,3,11
2008-07,3,10
2008-08,3,11
2008-09,3,9
2008-10,3,9
2008-11,3,9
2008-12,3,11
2009-01,3,12
2009-02,4,10
2009-03,3,11
2009-04,3,11
2009-05,3,12
2009-06,3,13
2009-07,3,13
2009-08,4,15
2009-09,3,13
2009-10,3,15
2009-11,3,16
2009-12,3,20
2010-01,4,19
2010-02,4,18
2010-03,3,19
2010-04,3,19
2010-05,3,19
2010-06,3,20
2010-07,4,20
2010-08,4,20
2010-09,3,17
2010-10,4,17
2010-11,4,17
2010-12,4,21
2011-01,4,25
2011-02,5,19
2011-03,4,20
2011-04,4,22
2011-05,4,24
2011-06,4,23
2011-07,4,26
2011-08,4,25
2011-09,4,22
2011-10,4,22
2011-11,5,21
2011-12,5,24
2012-01,6,23
2012-02,6,22
2012-03,6,22
2012-04,5,20
2012-05,5,20
2012-06,5,22
2012-07,5,21
2012-08,6,20
2012-09,6,24
2012-10,5,18
2012-11,6,19
2012-12,6,21
2013-01,7,22
2013-02,6,20
2013-03,7,21
2013-04,6,19
2013-05,6,19
2013-06,6,19
2013-07,7,21
2013-08,7,20
2013-09,6,19
2013-10,6,17
2013-11,6,19
2013-12,6,20
2014-01,7,21
2014-02,7,21
2014-03,7,22
2014-04,7,20
2014-05,7,21
2014-06,7,20
2014-07,7,22
2014-08,8,22
2014-09,8,20
2014-10,7,20
2014-11,6,20
2014-12,8,22
2015-01,7,27
2015-02,8,21
2015-03,8,23
2015-04,8,23
2015-05,7,22
2015-06,7,21
2015-07,8,23
2015-08,8,23
2015-09,8,22
2015-10,8,22
2015-11,8,20
2015-12,9,23
2016-01,9,25
2016-02,10,23
2016-03,9,24
2016-04,9,31
2016-05,9,25
2016-06,8,26
2016-07,9,26
2016-08,9,24
2016-09,9,24
2016-10,9,24
2016-11,10,25
2016-12,10,27
2017-01,12,32
2017-02,11,34
2017-03,11,32
2017-04,11,35
2017-05,11,33
2017-06,11,35
2017-07,12,35
2017-08,12,35
2017-09,12,37
2017-10,13,36
2017-11,13,34
2017-12,13,36
2018-01,14,40
2018-02,15,39
2018-03,15,40
2018-04,14,41
2018-05,13,38
2018-06,13,40
2018-07,13,42
2018-08,13,45
2018-09,14,43
2018-10,13,48
2018-11,15,40
2018-12,15,46
2019-01,16,52
2019-02,17,51
2019-03,16,53
2019-04,15,52
2019-05,16,50
2019-06,15,54
2019-07,16,55
2019-08,16,49
2019-09,15,46
2019-10,16,46
2019-11,16,46
2019-12,17,49
2020-01,18,52
2020-02,18,56
2020-03,18,47
2020-04,26,55
2020-05,27,73
2020-06,23,67
2020-07,22,68
2020-08,20,65
2020-09,19,63
2020-10,20,55
2020-11,21,60
2020-12,21,60
2021-01,26,73
2021-02,27,85
2021-03,23,93
2021-04,22,89
2021-05,21,90
2021-06,20,82
2021-07,22,82
2021-08,22,76
2021-09,20,67
2021-10,22,65
2021-11,21,66
2021-12,23,70
2022-01,29,79
2022-02,27,79
2022-03,24,76
2022-04,23,77
2022-05,21,80
2022-06,22,83
2022-07,23,87
2022-08,22,90
2022-09,23,77
2022-10,22,75
2022-11,22,71
2022-12,23,77
2023-01,28,88
2023-02,27,91
2023-03,25,87
2023-04,24,89
2023-05,23,90
2023-06,22,100
2023-07,24,97
2023-08,25,95
2023-09,27,88
2023-10,26,78
2023-11,26,80
2023-12,28,88
2024-01,31,89
2024-02,33,97
2024-03,32,96
2024-04,29,94
2024-05,28,94
2024-06,26,88
2024-07,29,98
2024-08,27,100
