Categoria: Tutte le categorie

Mese,Miso: (Tutto il mondo),Maki: (Tutto il mondo)
2004-01,25,31
2004-02,23,31
2004-03,24,32
2004-04,23,31
2004-05,21,31
2004-06,18,31
2004-07,20,33
2004-08,26,32
2004-09,24,27
2004-10,21,27
2004-11,23,28
2004-12,22,29
2005-01,26,27
2005-02,27,30
2005-03,23,29
2005-04,23,29
2005-05,21,28
2005-06,22,28
2005-07,21,31
2005-08,26,30
2005-09,22,27
2005-10,25,29
2005-11,25,27
2005-12,24,27
2006-01,31,26
2006-02,26,29
2006-03,26,30
2006-04,23,28
2006-05,24,30
2006-06,20,31
2006-07,23,30
2006-08,24,31
2006-09,24,31
2006-10,24,33
2006-11,24,31
2006-12,23,31
2007-01,29,29
2007-02,27,31
2007-03,25,34
2007-04,24,36
2007-05,23,33
2007-06,22,34
2007-07,24,37
2007-08,24,35
2007-09,24,35
2007-10,26,34
2007-11,26,33
2007-12,25,35
2008-01,28,33
2008-02,29,37
2008-03,26,35
2008-04,24,36
2008-05,24,38
2008-06,24,35
2008-07,24,32
2008-08,25,34
2008-09,25,32
2008-10,24,34
2008-11,24,34
2008-12,25,34
2009-01,29,38
2009-02,30,39
2009-03,27,39
2009-04,26,43
2009-05,23,48
2009-06,23,39
2009-07,23,40
2009-08,25,38
2009-09,25,37
2009-10,28,39
2009-11,27,38
2009-12,25,39
2010-01,33,38
2010-02,30,38
2010-03,29,40
2010-04,26,43
2010-05,27,45
2010-06,25,44
2010-07,27,43
2010-08,29,41
2010-09,31,40
2010-10,37,49
2010-11,39,42
2010-12,36,40
2011-01,43,41
2011-02,38,42
2011-03,38,44
2011-04,39,41
2011-05,35,40
2011-06,30,40
2011-07,32,40
2011-08,31,40
2011-09,32,38
2011-10,34,37
2011-11,33,51
2011-12,32,41
2012-01,42,40
2012-02,38,41
2012-03,40,46
2012-04,34,44
2012-05,33,40
2012-06,33,41
2012-07,33,40
2012-08,34,43
2012-09,35,42
2012-10,33,40
2012-11,32,44
2012-12,33,44
2013-01,40,42
2013-02,42,44
2013-03,37,44
2013-04,36,42
2013-05,34,43
2013-06,32,43
2013-07,34,45
2013-08,36,43
2013-09,35,46
2013-10,35,41
2013-11,36,48
2013-12,33,50
2014-01,46,51
2014-02,41,49
2014-03,40,49
2014-04,38,51
2014-05,36,54
2014-06,33,53
2014-07,35,56
2014-08,35,56
2014-09,36,51
2014-10,40,54
2014-11,37,51
2014-12,37,55
2015-01,47,54
2015-02,44,53
2015-03,41,51
2015-04,40,52
2015-05,36,52
2015-06,35,48
2015-07,37,50
2015-08,38,54
2015-09,39,50
2015-10,41,50
2015-11,39,47
2015-12,39,54
2016-01,48,54
2016-02,45,54
2016-03,41,53
2016-04,41,52
2016-05,41,55
2016-06,39,55
2016-07,38,55
2016-08,36,49
2016-09,42,51
2016-10,42,51
2016-11,42,53
2016-12,40,54
2017-01,50,54
2017-02,49,55
2017-03,46,54
2017-04,46,53
2017-05,43,51
2017-06,41,52
2017-07,44,54
2017-08,45,53
2017-09,45,51
2017-10,47,50
2017-11,51,50
2017-12,46,54
2018-01,58,54
2018-02,59,55
2018-03,52,52
2018-04,48,50
2018-05,45,51
2018-06,44,49
2018-07,46,51
2018-08,45,50
2018-09,48,49
2018-10,51,47
2018-11,51,50
2018-12,49,51
2019-01,63,51
2019-02,57,56
2019-03,54,52
2019-04,50,51
2019-05,46,49
2019-06,47,50
2019-07,47,53
2019-08,47,49
2019-09,51,48
2019-10,53,48
2019-11,56,49
2019-12,55,55
2020-01,67,52
2020-02,61,50
2020-03,53,51
2020-04,64,63
2020-05,71,63
2020-06,68,62
2020-07,61,62
2020-08,61,57
2020-09,63,57
2020-10,62,56
2020-11,61,60
2020-12,60,64
2021-01,76,67
2021-02,74,75
2021-03,68,72
2021-04,63,71
2021-05,62,72
2021-06,54,65
2021-07,59,70
2021-08,59,75
2021-09,60,63
2021-10,64,62
2021-11,73,61
2021-12,64,67
2022-01,92,72
2022-02,81,70
2022-03,72,75
2022-04,73,78
2022-05,65,66
2022-06,65,69
2022-07,63,71
2022-08,62,65
2022-09,68,66
2022-10,71,68
2022-11,70,56
2022-12,71,65
2023-01,86,67
2023-02,80,66
2023-03,75,62
2023-04,71,65
2023-05,63,58
2023-06,63,64
2023-07,66,70
2023-08,65,75
2023-09,68,71
2023-10,73,71
2023-11,73,79
2023-12,80,88
2024-01,93,95
2024-02,91,94
2024-03,84,100
2024-04,84,92
2024-05,78,93
2024-06,76,99
2024-07,77,95
2024-08,71,89
