Cuisine,Score,Year
Italy, 4.651, 2023
Japan, 4.65, 2023
Greece, 4.64, 2023
Portugal, 4.61, 2023
China, 4.59, 2023
Indonesia, 4.57, 2023
Mexico, 4.56, 2023
France, 4.55, 2023
Spain, 4.55, 2023
Peru, 4.54, 2023
India, 4.52, 2023
Brazil, 4.52, 2023
Poland, 4.50, 2023
Argentina, 4.50, 2023
Turkey, 4.49, 2023
USA, 4.48, 2023
Thailand, 4.48, 2023
South Korea, 4.46, 2023
Croatia, 4.45, 2023
Serbia, 4.45, 2023
Hungary, 4.44, 2023
Vietnam, 4.44, 2023
Iran, 4.42, 2023
Chile, 4.42, 2023
Lebanon, 4.40, 2023
Georgia, 4.39, 2023
Bosnia and Herzegovina, 4.39, 2023
Colombia, 4.38, 2023
Romania, 4.36, 2023
Bulgaria, 4.36, 2023
Malaysia, 4.36, 2023
Germany, 4.35, 2023
Philippines, 4.35, 2023
Belgium, 4.35, 2023
Czech Republic, 4.34, 2023
Austria, 4.34, 2023
Switzerland, 4.33, 2023
Lithuania, 4.32, 2023
England, 4.31, 2023
Algeria, 4.31, 2023
Russia, 4.28, 2023
Slovakia, 4.28, 2023
Canada, 4.26, 2023
Sweden, 4.25, 2023
Netherlands, 4.24, 2023
Morocco, 4.24, 2023
Scotland, 4.23, 2023
Ecuador, 4.23, 2023
Denmark, 4.22, 2023
Australia, 4.21, 2023
Egypt, 4.21, 2023
South Africa, 4.20, 2023
Ukraine, 4.18, 2023
Syria, 4.18, 2023
Ireland, 4.17, 2023
Singapore, 4.16, 2023
Pakistan, 4.15, 2023
Puerto Rico, 4.14, 2023
Norway, 4.12, 2023
Bolivia, 4.11, 2023
North Macedonia, 4.11, 2023
Israel, 4.10, 2023
Palestine, 4.10, 2023
Slovenia, 4.08, 2023
Finland, 4.03, 2023
Tunisia, 4.02, 2023
Haiti, 4.01, 2023
Jamaica, 4.00, 2023
Armenia, 4.00, 2023
Venezuela, 3.99, 2023
Belarus, 3.99, 2023
Moldova, 3.99, 2023
Sri Lanka, 3.98, 2023
Jordan, 3.98, 2023
Cuba, 3.97, 2023
Uzbekistan, 3.97, 2023
Azerbaijan, 3.96, 2023
Taiwan, 3.96, 2023
Uruguay, 3.96, 2023
Montenegro, 3.96, 2023
Ethiopia, 3.95, 2023
Iraq, 3.94, 2023
Qatar, 3.94, 2023
Trinidad and Tobago, 3.92, 2023
Libya, 3.92, 2023
Laos, 3.92, 2023
Barbados, 3.92, 2023
Cyprus, 3.91, 2023
Bangladesh, 3.91, 2023
