"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2024","22.1839","22.2320","22.2320","22.1388","","-0.24%"
"07/03/2024","22.2375","22.2052","22.2754","22.1188","","0.16%"
"07/02/2024","22.2021","22.2203","22.2486","22.1789","","-0.05%"
"07/01/2024","22.2126","22.1383","22.2547","22.1067","","0.37%"
"06/28/2024","22.1306","22.1156","22.1917","22.0625","","0.08%"
"06/27/2024","22.1134","22.1306","22.1306","22.0543","","-0.06%"
"06/26/2024","22.1270","21.9904","22.1395","21.9752","","0.64%"
"06/25/2024","21.9868","21.9866","22.0028","21.9294","","0.02%"
"06/24/2024","21.9827","22.0130","22.0261","21.8804","","-0.11%"
"06/21/2024","22.0066","21.8906","22.0157","21.8517","","0.55%"
"06/20/2024","21.8855","21.7853","21.8926","21.7612","","0.47%"
"06/19/2024","21.7831","21.7584","21.7881","21.7180","","0.11%"
"06/18/2024","21.7586","21.7381","21.8084","21.7105","","0.11%"
"06/17/2024","21.7345","21.6897","21.7705","21.6588","","0.21%"
"06/14/2024","21.6889","21.6525","21.8149","21.6208","","0.18%"
"06/13/2024","21.6496","21.6472","21.6986","21.5956","","0.04%"
"06/12/2024","21.6405","21.6536","21.7070","21.5021","","-0.05%"
"06/11/2024","21.6514","21.6681","21.7060","21.6149","","-0.06%"
"06/10/2024","21.6639","21.6254","21.6902","21.6198","","0.20%"
"06/07/2024","21.6198","21.4786","21.6779","21.4158","","0.67%"
"06/06/2024","21.4754","21.5371","21.5924","21.4410","","-0.29%"
"06/05/2024","21.5376","21.3895","21.5924","21.3806","","0.69%"
"06/04/2024","21.3903","21.5562","21.6043","21.3447","","-0.76%"
"06/03/2024","21.5533","21.7234","21.7358","21.5319","","-0.78%"
"05/31/2024","21.7219","21.6831","21.7342","21.6217","","0.20%"
"05/30/2024","21.6786","21.7451","21.7514","21.5998","","-0.30%"
"05/29/2024","21.7449","21.6917","21.7659","21.6485","","0.26%"
"05/28/2024","21.6878","21.6544","21.6985","21.6123","","0.17%"
"05/27/2024","21.6508","21.6810","21.6817","21.6229","","-0.10%"
"05/24/2024","21.6732","21.6705","21.6996","21.6502","","0.02%"
"05/23/2024","21.6688","21.6516","21.7094","21.6106","","0.09%"
"05/22/2024","21.6485","21.5781","21.6607","21.5684","","0.35%"
"05/21/2024","21.5730","21.5982","21.6340","21.5443","","-0.09%"
"05/20/2024","21.5926","21.5391","21.6057","21.5019","","0.23%"
"05/17/2024","21.5427","21.5242","21.5953","21.4923","","0.11%"
"05/16/2024","21.5191","21.4530","21.5457","21.2743","","0.32%"
"05/15/2024","21.4501","21.6246","21.6517","21.4260","","-0.80%"
"05/14/2024","21.6220","21.5924","21.6715","21.5883","","0.12%"
"05/13/2024","21.5952","21.5497","21.6105","21.5208","","0.23%"
"05/10/2024","21.5455","21.5291","21.5783","21.4993","","0.11%"
"05/09/2024","21.5229","21.5218","21.5829","21.4755","","0.03%"
"05/08/2024","21.5170","21.4299","21.5460","21.4112","","0.42%"
"05/07/2024","21.4276","21.3494","21.4404","21.3407","","-1.63%"
"05/06/2024","21.7833","21.7233","21.8252","21.6912","","0.79%"
"05/03/2024","21.6134","21.6578","21.7360","21.5439","","1.89%"
"05/02/2024","21.2135","21.3953","21.5837","21.1370","","-0.54%"
"05/01/2024","21.3294","21.7936","21.8248","21.1535","","-2.11%"
"04/30/2024","21.7893","21.6186","21.7999","21.5792","","0.81%"
"04/29/2024","21.6146","21.7879","22.0875","21.3254","","-1.07%"
"04/26/2024","21.8478","21.4940","21.8652","21.3897","","1.63%"
"04/25/2024","21.4971","21.4345","21.5009","21.4186","","0.28%"
"04/24/2024","21.4377","21.3706","21.4441","21.3554","","0.32%"
"04/23/2024","21.3685","21.3778","21.3778","21.3308","","-0.03%"
"04/22/2024","21.3749","21.3574","21.3826","21.3339","","0.09%"
"04/19/2024","21.3566","21.3643","21.3685","21.2050","","-0.02%"
"04/18/2024","21.3601","21.3266","21.3731","21.2803","","0.16%"
"04/17/2024","21.3253","21.3761","21.3811","21.2955","","-0.22%"
"04/16/2024","21.3732","21.3148","21.3864","21.2623","","0.29%"
"04/15/2024","21.3110","21.1528","21.3381","21.1390","","0.63%"
"04/12/2024","21.1783","21.1782","21.1959","21.0833","","0.01%"
"04/11/2024","21.1772","21.1750","21.1857","21.1135","","0.04%"
"04/10/2024","21.1694","20.9816","21.1833","20.9719","","0.89%"
"04/09/2024","20.9830","20.9941","21.0114","20.9615","","-0.05%"
"04/08/2024","20.9927","20.9524","21.0105","20.9517","","0.17%"
"04/05/2024","20.9565","20.9228","20.9802","20.8482","","0.19%"
"04/04/2024","20.9178","20.9718","20.9829","20.8909","","-0.23%"
"04/03/2024","20.9662","20.9541","21.0020","20.9375","","0.08%"
"04/02/2024","20.9500","20.9729","20.9890","20.9329","","-0.09%"
"04/01/2024","20.9694","20.9541","20.9904","20.9242","","0.06%"
"03/29/2024","20.9562","20.9464","20.9749","20.9209","","0.06%"
"03/28/2024","20.9427","20.9381","20.9699","20.9115","","0.03%"
"03/27/2024","20.9367","20.9974","21.0274","20.9012","","-0.27%"
"03/26/2024","20.9932","20.9972","21.0049","20.9461","","0.00%"
"03/25/2024","20.9936","20.9477","21.0180","20.8979","","0.23%"
"03/22/2024","20.9445","21.0634","21.0823","20.8869","","-0.54%"
"03/21/2024","21.0581","21.0096","21.0856","20.8727","","0.24%"
"03/20/2024","21.0070","20.9582","21.0982","20.9359","","0.26%"
"03/19/2024","20.9526","20.7208","20.9699","20.7035","","1.12%"
"03/18/2024","20.7196","20.7066","20.7525","20.6882","","0.06%"
"03/15/2024","20.7070","20.6190","20.7334","20.5728","","0.45%"
"03/14/2024","20.6144","20.5578","20.6245","20.5018","","0.29%"
"03/13/2024","20.5551","20.5676","20.5812","20.4903","","-0.02%"
"03/12/2024","20.5600","20.4573","20.6444","20.4121","","0.52%"
"03/11/2024","20.4538","20.4655","20.4885","20.3862","","-0.05%"
