"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2019","16.5326","16.6159","16.6278","16.4813","93.44K","-0.48%"
"03/07/2019","16.6123","16.6518","16.6742","16.6017","86.27K","-0.19%"
"03/06/2019","16.6446","16.6805","16.6904","16.6287","94.73K","-0.20%"
"03/05/2019","16.6773","16.6587","16.7191","16.6557","98.01K","0.15%"
"03/04/2019","16.6525","16.6661","16.7503","16.6438","94.54K","-0.17%"
"03/01/2019","16.6816","16.6406","16.7132","16.6294","106.12K","0.31%"
"02/28/2019","16.6296","16.5982","16.6571","16.5441","101.58K","0.28%"
"02/27/2019","16.5835","16.5047","16.6116","16.4921","97.09K","0.52%"
"02/26/2019","16.4971","16.6031","16.6084","16.4801","93.29K","-0.56%"
"02/25/2019","16.5900","16.4837","16.6301","16.4763","103.07K","0.69%"
"02/22/2019","16.4771","16.4746","16.5156","16.4385","111.00K","0.02%"
"02/21/2019","16.4732","16.4939","16.5607","16.4478","108.86K","-0.06%"
"02/20/2019","16.4830","16.3694","16.5103","16.3531","100.16K","0.76%"
"02/19/2019","16.3593","16.3479","16.3866","16.2973","97.00K","0.11%"
"02/18/2019","16.3421","16.3059","16.3713","16.2978","79.57K","0.30%"
"02/15/2019","16.2939","16.3139","16.3389","16.2605","114.89K","-0.12%"
"02/14/2019","16.3139","16.4217","16.4360","16.3094","105.10K","-0.65%"
"02/13/2019","16.4199","16.3097","16.4288","16.2994","92.92K","0.67%"
"02/12/2019","16.3102","16.2478","16.3260","16.2434","99.53K","0.37%"
"02/11/2019","16.2499","16.2831","16.2890","16.2046","78.73K","-0.12%"
"02/08/2019","16.2695","16.2814","16.2948","16.2563","94.53K","-0.07%"
"02/07/2019","16.2814","16.3052","16.3229","16.2504","111.41K","-0.14%"
"02/06/2019","16.3044","16.3044","16.3178","16.2422","108.00K","0.00%"
"02/05/2019","16.3037","16.2919","16.3141","16.2755","96.99K","0.07%"
"02/04/2019","16.2926","16.2348","16.3326","16.2244","78.33K","0.36%"
"02/01/2019","16.2340","16.2427","16.2561","16.1482","104.84K","-0.10%"
"01/31/2019","16.2495","16.2355","16.2890","16.1743","112.85K","0.10%"
"01/30/2019","16.2339","16.2539","16.3509","16.2012","111.31K","-0.09%"
"01/29/2019","16.2478","16.2142","16.2724","16.1656","103.40K","0.23%"
"01/28/2019","16.2113","16.2297","16.2703","16.1816","103.00K","-0.16%"
"01/25/2019","16.2370","16.1456","16.2903","16.1264","101.88K","0.53%"
"01/24/2019","16.1516","16.1409","16.1813","16.1192","103.83K","0.09%"
"01/23/2019","16.1366","16.0685","16.2055","16.0612","105.86K","0.44%"
"01/22/2019","16.0657","16.1219","16.1419","16.0318","105.53K","-0.42%"
"01/21/2019","16.1327","16.1958","16.1987","16.1209","86.07K","-0.38%"
"01/18/2019","16.1935","16.1233","16.2112","16.0924","113.82K","0.45%"
"01/17/2019","16.1207","16.1438","16.1497","16.0535","113.27K","-0.16%"
"01/16/2019","16.1461","16.0802","16.1624","15.9949","","0.45%"
"01/15/2019","16.0730","15.9816","16.1150","15.9771","","0.57%"
"01/14/2019","15.9817","16.0329","16.0869","15.9532","","-0.43%"
"01/11/2019","16.0506","15.9784","16.0883","15.9548","19.03K","0.49%"
"01/10/2019","15.9719","15.8593","15.9851","15.8108","","0.65%"
"01/09/2019","15.8681","15.8760","15.9705","15.8388","","0.00%"
