"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2024","174.20","174.38","174.40","173.80","","-0.10%"
"07/03/2024","174.37","173.49","174.71","173.41","","0.53%"
"07/02/2024","173.45","173.43","173.65","173.07","","0.05%"
"07/01/2024","173.37","172.39","173.85","172.38","","0.62%"
"06/28/2024","172.30","172.06","172.51","171.43","","0.16%"
"06/27/2024","172.02","171.75","172.22","171.38","","0.18%"
"06/26/2024","171.71","171.10","171.85","170.84","","0.37%"
"06/25/2024","171.08","171.32","171.42","170.68","","-0.11%"
"06/24/2024","171.27","170.91","171.53","170.34","","0.26%"
"06/21/2024","170.83","170.10","170.95","169.30","","0.48%"
"06/20/2024","170.02","169.88","170.37","169.60","","0.11%"
"06/19/2024","169.83","169.56","169.90","169.11","","0.19%"
"06/18/2024","169.50","169.32","169.95","168.96","","0.12%"
"06/17/2024","169.29","168.43","169.37","167.94","","0.53%"
"06/14/2024","168.39","168.61","169.84","167.51","","-0.10%"
"06/13/2024","168.56","169.40","170.17","168.26","","-0.47%"
"06/12/2024","169.36","168.74","169.93","168.60","","0.40%"
"06/11/2024","168.68","169.06","169.49","168.28","","-0.19%"
"06/10/2024","169.00","169.21","169.24","168.29","","-0.14%"
"06/07/2024","169.24","169.46","170.02","168.93","","-0.11%"
"06/06/2024","169.42","169.68","170.30","169.21","","-0.12%"
"06/05/2024","169.63","168.51","170.04","168.39","","0.69%"
"06/04/2024","168.47","170.22","170.74","168.00","","-1.00%"
"06/03/2024","170.18","170.71","170.91","169.70","","-0.21%"
"05/31/2024","170.54","169.88","170.78","169.43","","0.42%"
"05/30/2024","169.83","170.28","170.36","169.04","","-0.25%"
"05/29/2024","170.25","170.63","170.82","170.15","","-0.18%"
"05/28/2024","170.56","170.35","170.83","170.23","","0.14%"
"05/27/2024","170.32","170.34","170.52","169.96","","0.04%"
"05/24/2024","170.26","169.72","170.52","169.62","","0.34%"
"05/23/2024","169.69","169.69","170.46","169.27","","0.03%"
"05/22/2024","169.64","169.51","169.96","169.37","","0.11%"
"05/21/2024","169.45","169.65","169.98","169.20","","-0.09%"
"05/20/2024","169.60","169.18","169.82","169.04","","0.24%"
"05/17/2024","169.19","168.87","169.38","168.77","","0.22%"
"05/16/2024","168.82","168.57","168.99","167.30","","0.17%"
"05/15/2024","168.53","169.26","169.41","168.06","","-0.41%"
"05/14/2024","169.22","168.52","169.46","168.46","","0.42%"
"05/13/2024","168.51","167.74","168.77","167.55","","0.42%"
"05/10/2024","167.80","167.55","167.97","167.51","","0.12%"
"05/09/2024","167.60","167.11","167.79","166.73","","0.31%"
"05/08/2024","167.08","166.38","167.37","166.23","","0.44%"
"05/07/2024","166.34","165.74","166.59","165.63","","0.39%"
"05/06/2024","165.70","164.65","166.01","164.47","","0.60%"
"05/03/2024","164.71","164.32","164.79","164.02","","-0.04%"
"05/02/2024","164.77","165.47","167.40","164.21","","-0.40%"
"05/01/2024","165.44","168.32","168.67","164.24","","-1.69%"
"04/30/2024","168.28","167.63","168.74","167.32","","0.42%"
"04/29/2024","167.57","169.35","171.47","165.65","","-1.01%"
"04/26/2024","169.28","167.05","169.41","166.46","","1.37%"
"04/25/2024","167.00","166.20","167.10","165.93","","0.50%"
"04/24/2024","166.17","165.69","166.25","165.35","","0.31%"
"04/23/2024","165.65","164.99","165.76","164.61","","0.43%"
"04/22/2024","164.94","164.77","165.13","164.38","","0.12%"
"04/19/2024","164.74","164.61","165.04","163.00","","0.10%"
"04/18/2024","164.57","164.77","164.98","164.34","","-0.10%"
"04/17/2024","164.74","164.29","164.84","163.91","","0.29%"
"04/16/2024","164.26","163.91","164.71","163.66","","0.25%"
"04/15/2024","163.85","162.93","164.47","162.71","","0.45%"
"04/12/2024","163.12","164.40","164.46","162.26","","-0.76%"
"04/11/2024","164.37","164.57","164.73","163.93","","-0.07%"
"04/10/2024","164.48","164.79","165.02","163.89","","-0.16%"
"04/09/2024","164.75","164.85","165.21","164.54","","-0.04%"
"04/08/2024","164.81","164.26","164.93","164.18","","0.33%"
"04/05/2024","164.27","164.02","164.46","163.47","","0.18%"
"04/04/2024","163.97","164.33","164.95","163.77","","-0.23%"
"04/03/2024","164.35","163.23","164.40","163.05","","0.71%"
"04/02/2024","163.19","162.92","163.37","162.60","","0.17%"
"04/01/2024","162.91","163.30","163.46","162.77","","-0.25%"
"03/29/2024","163.32","163.34","163.50","162.95","","0.02%"
"03/28/2024","163.28","163.85","163.94","163.17","","-0.33%"
"03/27/2024","163.82","164.16","164.53","163.53","","-0.19%"
"03/26/2024","164.13","164.10","164.43","163.95","","0.04%"
"03/25/2024","164.07","163.73","164.23","163.30","","0.28%"
"03/22/2024","163.61","164.66","164.84","163.46","","-0.63%"
"03/21/2024","164.65","165.18","165.37","164.34","","-0.31%"
"03/20/2024","165.17","163.95","165.43","163.80","","0.77%"
"03/19/2024","163.90","162.18","164.04","162.01","","1.09%"
"03/18/2024","162.14","162.34","162.74","161.93","","-0.06%"
"03/15/2024","162.24","161.46","162.43","161.05","","0.53%"
