"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2019","126.37","126.52","126.65","126.17","","-0.13%"
"03/05/2019","126.53","126.71","126.98","126.34","","-0.15%"
"03/04/2019","126.72","127.30","127.47","126.42","","-0.48%"
"03/01/2019","127.33","126.69","127.61","126.56","","0.53%"
"02/28/2019","126.66","126.19","126.94","125.88","","0.37%"
"02/27/2019","126.19","125.95","126.38","125.50","","0.13%"
"02/26/2019","126.03","126.25","126.31","125.72","","-0.10%"
"02/25/2019","126.16","125.50","126.31","125.30","","0.48%"
"02/22/2019","125.56","125.50","125.83","125.36","","0.05%"
"02/21/2019","125.50","125.67","125.88","125.29","","-0.14%"
"02/20/2019","125.68","125.48","125.97","125.33","","0.18%"
"02/19/2019","125.46","125.11","125.58","124.73","","0.27%"
"02/18/2019","125.12","124.74","125.33","124.64","","0.30%"
"02/15/2019","124.75","124.79","124.97","124.21","","-0.03%"
"02/14/2019","124.79","125.02","125.47","124.72","","-0.17%"
"02/13/2019","125.00","125.14","125.56","124.97","","-0.10%"
"02/12/2019","125.13","124.48","125.30","124.40","","0.54%"
"02/11/2019","124.46","124.30","124.90","124.18","","0.10%"
"02/08/2019","124.33","124.61","124.73","124.16","","-0.22%"
"02/07/2019","124.61","124.95","125.12","124.33","","-0.26%"
"02/06/2019","124.94","125.53","125.58","124.81","","-0.46%"
"02/05/2019","125.52","125.70","125.90","125.26","","-0.15%"
"02/04/2019","125.71","125.44","125.98","125.33","","0.22%"
"02/01/2019","125.44","124.65","125.77","124.36","","0.64%"
"01/31/2019","124.64","125.16","125.31","124.47","","-0.42%"
"01/30/2019","125.16","125.06","125.50","124.88","","0.08%"
"01/29/2019","125.06","124.99","125.29","124.66","","0.09%"
"01/28/2019","124.95","124.94","125.08","124.59","","-0.02%"
"01/25/2019","124.97","123.98","125.36","123.76","","0.81%"
"01/24/2019","123.97","124.72","124.92","123.78","","-0.61%"
"01/23/2019","124.73","124.22","124.95","124.19","","0.39%"
"01/22/2019","124.24","124.64","124.84","124.01","","-0.34%"
"01/21/2019","124.66","124.77","125.19","124.51","","-0.06%"
"01/18/2019","124.74","124.51","125.01","124.21","","0.22%"
"01/17/2019","124.47","124.30","124.70","123.72","","0.09%"
"01/16/2019","124.36","124.06","124.44","123.53","","0.27%"
"01/15/2019","124.03","124.09","124.89","123.39","","-0.09%"
"01/14/2019","124.14","124.55","124.55","123.75","","-0.29%"
"01/11/2019","124.50","124.69","125.03","124.22","","-0.15%"
"01/10/2019","124.69","124.85","125.07","124.34","","-0.12%"
"01/09/2019","124.84","124.44","125.11","124.36","","0.34%"
"01/08/2019","124.42","124.77","124.89","124.11","","-0.26%"
