"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2019","147.19","147.47","147.47","146.69","","-0.18%"
"03/05/2019","147.46","147.26","147.80","146.60","","0.05%"
"03/04/2019","147.38","148.07","148.50","147.09","","-0.26%"
"03/01/2019","147.77","147.72","148.60","147.52","","0.03%"
"02/28/2019","147.73","147.73","148.28","146.97","","0.01%"
"02/27/2019","147.72","146.51","148.06","146.14","","0.81%"
"02/26/2019","146.54","145.37","147.07","145.36","","0.74%"
"02/25/2019","145.46","144.72","145.69","144.33","","0.66%"
"02/22/2019","144.50","144.47","144.78","143.78","","0.01%"
"02/21/2019","144.49","144.68","144.95","144.07","","-0.13%"
"02/20/2019","144.68","144.53","145.06","144.12","","0.11%"
"02/19/2019","144.52","142.94","144.74","142.48","","1.08%"
"02/18/2019","142.97","142.47","143.09","142.46","","0.41%"
"02/15/2019","142.38","141.44","142.49","141.00","","0.59%"
"02/14/2019","141.54","142.61","143.06","141.29","","-0.74%"
"02/13/2019","142.60","142.45","143.36","142.36","","0.11%"
"02/12/2019","142.44","141.83","142.65","141.83","","0.42%"
"02/11/2019","141.84","142.09","142.59","141.84","","-0.18%"
"02/08/2019","142.09","142.25","142.54","141.82","","-0.12%"
"02/07/2019","142.26","142.25","142.65","141.12","","0.01%"
"02/06/2019","142.24","142.41","142.54","141.75","","-0.07%"
"02/05/2019","142.34","143.24","143.60","142.02","","-0.65%"
"02/04/2019","143.27","143.27","144.22","143.06","","0.03%"
"02/01/2019","143.22","142.74","143.52","142.07","","0.33%"
"01/31/2019","142.75","143.04","143.25","142.25","","-0.18%"
"01/30/2019","143.01","142.94","143.62","142.72","","0.05%"
"01/29/2019","142.94","143.95","144.50","142.74","","-0.67%"
"01/28/2019","143.91","144.53","144.78","143.59","","-0.48%"
"01/25/2019","144.60","143.26","144.87","143.09","","0.94%"
"01/24/2019","143.26","143.23","143.58","142.71","","0.01%"
"01/23/2019","143.24","141.74","143.60","141.62","","1.07%"
"01/22/2019","141.72","141.38","141.94","140.61","","0.23%"
"01/21/2019","141.39","141.39","141.60","140.67","","0.04%"
