"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2024","1.9301","1.9356","1.9356","1.9274","","-0.27%"
"07/03/2024","1.9354","1.9334","1.9403","1.9261","","0.12%"
"07/02/2024","1.9330","1.9350","1.9375","1.9326","","-0.04%"
"07/01/2024","1.9337","1.9300","1.9382","1.9273","","0.23%"
"06/28/2024","1.9292","1.9265","1.9319","1.9225","","0.16%"
"06/27/2024","1.9261","1.9243","1.9276","1.9193","","0.12%"
"06/26/2024","1.9238","1.9144","1.9251","1.9116","","0.54%"
"06/25/2024","1.9134","1.9121","1.9154","1.9068","","0.11%"
"06/24/2024","1.9113","1.9128","1.9153","1.9025","","-0.04%"
"06/21/2024","1.9121","1.9004","1.9135","1.8979","","0.65%"
"06/20/2024","1.8998","1.8940","1.9007","1.8921","","0.33%"
"06/19/2024","1.8936","1.8939","1.8947","1.8893","","0.00%"
"06/18/2024","1.8936","1.8888","1.8971","1.8855","","0.28%"
"06/17/2024","1.8883","1.8836","1.8915","1.8815","","0.26%"
"06/14/2024","1.8834","1.8795","1.8945","1.8774","","0.23%"
"06/13/2024","1.8791","1.8783","1.8838","1.8750","","0.06%"
"06/12/2024","1.8779","1.8785","1.8849","1.8657","","0.01%"
"06/11/2024","1.8777","1.8805","1.8849","1.8759","","-0.11%"
"06/10/2024","1.8798","1.8765","1.8830","1.8760","","0.20%"
"06/07/2024","1.8760","1.8642","1.8816","1.8598","","0.65%"
"06/06/2024","1.8638","1.8721","1.8739","1.8625","","-0.44%"
"06/05/2024","1.8720","1.8534","1.8765","1.8527","","1.03%"
"06/04/2024","1.8530","1.8784","1.8829","1.8497","","-1.31%"
"06/03/2024","1.8776","1.8851","1.8974","1.8764","","-0.36%"
"05/31/2024","1.8844","1.8826","1.8872","1.8764","","0.14%"
"05/30/2024","1.8818","1.8909","1.8915","1.8772","","-0.45%"
"05/29/2024","1.8904","1.8894","1.8928","1.8836","","0.10%"
"05/28/2024","1.8886","1.8871","1.8900","1.8825","","0.12%"
"05/27/2024","1.8863","1.8905","1.8906","1.8849","","-0.19%"
"05/24/2024","1.8899","1.8851","1.8922","1.8841","","0.27%"
"05/23/2024","1.8848","1.8836","1.8878","1.8801","","0.09%"
"05/22/2024","1.8831","1.8757","1.8844","1.8737","","0.43%"
"05/21/2024","1.8750","1.8758","1.8789","1.8715","","0.00%"
"05/20/2024","1.8750","1.8678","1.8765","1.8671","","0.39%"
"05/17/2024","1.8678","1.8617","1.8715","1.8601","","0.35%"
"05/16/2024","1.8612","1.8566","1.8632","1.8412","","0.26%"
"05/15/2024","1.8563","1.8736","1.8748","1.8544","","-0.91%"
"05/14/2024","1.8733","1.8710","1.8772","1.8699","","0.12%"
"05/13/2024","1.8711","1.8641","1.8726","1.8623","","0.34%"
"05/10/2024","1.8647","1.8618","1.8666","1.8613","","0.15%"
"05/09/2024","1.8618","1.8627","1.8676","1.8590","","-0.05%"
"05/08/2024","1.8627","1.8544","1.8654","1.8531","","0.47%"
"05/07/2024","1.8539","1.8482","1.8549","1.8440","","0.30%"
"05/06/2024","1.8483","1.8437","1.8487","1.8374","","0.74%"
"05/03/2024","1.8347","1.8357","1.8403","1.8225","","-0.29%"
"05/02/2024","1.8401","1.8562","1.8728","1.8338","","-0.56%"
"05/01/2024","1.8504","1.8908","1.8930","1.8352","","-2.12%"
"04/30/2024","1.8905","1.8742","1.8914","1.8700","","0.90%"
"04/29/2024","1.8736","1.8930","1.9196","1.8515","","-1.29%"
"04/26/2024","1.8981","1.8678","1.9001","1.8602","","1.61%"
"04/25/2024","1.8681","1.8640","1.8691","1.8622","","0.21%"
