"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2019","1.5949","1.5874","1.5961","1.5815","91.06K","0.47%"
"03/05/2019","1.5874","1.5755","1.5892","1.5752","92.28K","0.73%"
"03/04/2019","1.5759","1.5742","1.5818","1.5735","89.07K","-0.02%"
"03/01/2019","1.5762","1.5725","1.5807","1.5715","103.40K","0.25%"
"02/28/2019","1.5723","1.5590","1.5740","1.5546","99.36K","0.86%"
"02/27/2019","1.5589","1.5566","1.5610","1.5452","93.57K","0.12%"
"02/26/2019","1.5570","1.5681","1.5686","1.5534","89.59K","-0.70%"
"02/25/2019","1.5679","1.5579","1.5703","1.5557","97.62K","0.62%"
"02/22/2019","1.5583","1.5556","1.5596","1.5538","107.38K","0.17%"
"02/21/2019","1.5556","1.5613","1.5624","1.5541","106.64K","-0.35%"
"02/20/2019","1.5611","1.5517","1.5624","1.5501","96.89K","0.62%"
"02/19/2019","1.5515","1.5494","1.5531","1.5454","92.86K","0.12%"
"02/18/2019","1.5496","1.5485","1.5506","1.5458","75.65K","0.07%"
"02/15/2019","1.5485","1.5557","1.5559","1.5430","110.15K","-0.46%"
"02/14/2019","1.5556","1.5663","1.5686","1.5530","102.09K","-0.68%"
"02/13/2019","1.5662","1.5665","1.5723","1.5609","90.19K","-0.01%"
"02/12/2019","1.5664","1.5513","1.5671","1.5494","96.39K","0.96%"
"02/11/2019","1.5515","1.5430","1.5542","1.5409","76.40K","0.64%"
"02/08/2019","1.5417","1.5404","1.5474","1.5373","97.67K","0.10%"
"02/07/2019","1.5402","1.5370","1.5417","1.5313","114.67K","0.21%"
"02/06/2019","1.5370","1.5373","1.5387","1.5286","110.16K","-0.02%"
"02/05/2019","1.5373","1.5324","1.5378","1.5288","100.16K","0.31%"
"02/04/2019","1.5325","1.5328","1.5354","1.5284","81.14K","-0.02%"
"02/01/2019","1.5328","1.5345","1.5358","1.5250","102.98K","-0.11%"
"01/31/2019","1.5345","1.5307","1.5370","1.5240","110.83K","0.25%"
"01/30/2019","1.5307","1.5312","1.5409","1.5275","108.70K","-0.11%"
"01/29/2019","1.5324","1.5388","1.5397","1.5293","100.22K","-0.41%"
"01/28/2019","1.5387","1.5448","1.5458","1.5337","100.71K","-0.42%"
"01/25/2019","1.5452","1.5443","1.5503","1.5412","100.17K","0.06%"
"01/24/2019","1.5443","1.5393","1.5453","1.5357","102.30K","0.31%"
"01/23/2019","1.5395","1.5348","1.5433","1.5346","104.74K","0.30%"
"01/22/2019","1.5349","1.5405","1.5411","1.5306","102.30K","-0.37%"
"01/21/2019","1.5406","1.5413","1.5414","1.5324","84.64K","-0.06%"
"01/18/2019","1.5415","1.5380","1.5437","1.5347","113.63K","0.26%"
"01/17/2019","1.5375","1.5368","1.5394","1.5227","112.64K","0.03%"
"01/16/2019","1.5370","1.5286","1.5385","1.5227","","0.56%"
"01/15/2019","1.5285","1.5286","1.5353","1.5237","","-0.01%"
"01/14/2019","1.5286","1.5406","1.5420","1.5224","","-0.86%"
"01/11/2019","1.5419","1.5399","1.5424","1.5341","19.02K","0.14%"
"01/10/2019","1.5397","1.5330","1.5410","1.5276","","0.44%"
"01/09/2019","1.5330","1.5505","1.5555","1.5301","","-1.12%"
"01/08/2019","1.5504","1.5573","1.5595","1.5459","5.95K","-0.46%"
"01/07/2019","1.5575","1.5610","1.5640","1.5469","6.33K","-0.19%"
"01/04/2019","1.5604","1.5357","1.5609","1.5329","112.98K","1.62%"
"01/03/2019","1.5356","1.5553","1.5558","1.4994","9.22K","-1.27%"
"01/02/2019","1.5554","1.5794","1.5803","1.5510","7.94K","-1.54%"
"01/01/2019","1.5797","1.5749","1.5808","1.5721","4.98K","0.29%"
"12/31/2018","1.5751","1.5791","1.5838","1.5741","","-0.11%"
"12/28/2018","1.5769","1.5773","1.5829","1.5735","","-0.04%"
"12/27/2018","1.5776","1.5896","1.5898","1.5698","","-0.74%"
"12/26/2018","1.5894","1.5744","1.5900","1.5720","","0.96%"
"12/25/2018","1.5743","1.5756","1.5760","1.5696","","-0.08%"
"12/24/2018","1.5755","1.5810","1.5885","1.5721","","-0.64%"
"12/21/2018","1.5857","1.5902","1.5967","1.5801","","-0.28%"
"12/20/2018","1.5902","1.6004","1.6038","1.5834","","-0.64%"
"12/19/2018","1.6005","1.5934","1.6087","1.5886","","0.45%"
"12/18/2018","1.5934","1.5758","1.5957","1.5716","","1.12%"
"12/17/2018","1.5757","1.5757","1.5851","1.5736","","-0.05%"
"12/14/2018","1.5765","1.5888","1.5895","1.5742","","-0.76%"
"12/13/2018","1.5886","1.5770","1.5901","1.5758","","0.74%"
"12/12/2018","1.5769","1.5683","1.5790","1.5673","","0.54%"
"12/11/2018","1.5684","1.5629","1.5790","1.5588","","0.35%"
"12/10/2018","1.5630","1.5905","1.5905","1.5532","","-1.76%"
"12/07/2018","1.5910","1.5902","1.6017","1.5882","","0.04%"
"12/06/2018","1.5903","1.6042","1.6045","1.5829","","-0.87%"
"12/05/2018","1.6042","1.5988","1.6058","1.5964","","0.32%"
"12/04/2018","1.5991","1.6135","1.6137","1.5952","","-0.90%"
"12/03/2018","1.6137","1.6293","1.6348","1.6111","","-0.96%"
"11/30/2018","1.6293","1.6263","1.6326","1.6226","","0.18%"
"11/29/2018","1.6263","1.6094","1.6273","1.6047","","1.05%"
"11/28/2018","1.6094","1.6074","1.6148","1.6048","","0.12%"
"11/27/2018","1.6074","1.6037","1.6079","1.5978","","0.21%"
"11/26/2018","1.6040","1.5987","1.6107","1.5965","","0.34%"
"11/23/2018","1.5986","1.5977","1.5989","1.5942","","0.05%"
"11/22/2018","1.5978","1.5857","1.5988","1.5840","","0.78%"
"11/21/2018","1.5855","1.5787","1.5869","1.5766","","0.43%"
"11/20/2018","1.5787","1.5719","1.5792","1.5696","","0.44%"
"11/19/2018","1.5718","1.5676","1.5765","1.5637","","0.27%"
"11/16/2018","1.5676","1.5802","1.5804","1.5648","","-0.79%"
"11/15/2018","1.5801","1.5713","1.5810","1.5689","","0.55%"
"11/14/2018","1.5714","1.5675","1.5826","1.5664","","0.26%"
"11/13/2018","1.5674","1.5623","1.5730","1.5587","","0.32%"
"11/12/2018","1.5624","1.5706","1.5732","1.5599","","-0.52%"
"11/09/2018","1.5705","1.5757","1.5761","1.5643","","-0.34%"
"11/08/2018","1.5759","1.5668","1.5762","1.5661","","0.57%"
"11/07/2018","1.5670","1.5551","1.5682","1.5486","","0.78%"
"11/06/2018","1.5549","1.5490","1.5558","1.5479","","0.39%"
"11/05/2018","1.5489","1.5625","1.5633","1.5471","","-0.89%"
"11/02/2018","1.5628","1.5347","1.5646","1.5326","","1.86%"
"11/01/2018","1.5343","1.5270","1.5381","1.5240","","0.47%"
"10/31/2018","1.5271","1.5355","1.5382","1.5252","","-0.51%"
"10/30/2018","1.5350","1.5312","1.5357","1.5299","","0.26%"
"10/29/2018","1.5310","1.5235","1.5336","1.5216","","0.51%"
"10/26/2018","1.5232","1.5348","1.5356","1.5163","","-0.78%"
"10/25/2018","1.5351","1.5330","1.5390","1.5268","","0.14%"
"10/24/2018","1.5329","1.5288","1.5420","1.5270","","0.27%"
"10/23/2018","1.5288","1.5338","1.5342","1.5219","","-0.32%"
"10/22/2018","1.5337","1.5333","1.5392","1.5313","","-0.01%"
"10/19/2018","1.5339","1.5259","1.5352","1.5247","","0.53%"
"10/18/2018","1.5258","1.5306","1.5318","1.5228","","-0.31%"
"10/17/2018","1.5305","1.5282","1.5325","1.5231","","0.16%"
"10/16/2018","1.5280","1.5150","1.5291","1.5143","","0.84%"
"10/15/2018","1.5152","1.5229","1.5251","1.5073","","-0.60%"
"10/12/2018","1.5243","1.5147","1.5278","1.5124","","0.63%"
"10/11/2018","1.5147","1.5120","1.5197","1.5052","","0.17%"
"10/10/2018","1.5122","1.5194","1.5272","1.5115","","-0.47%"
"10/09/2018","1.5194","1.5291","1.5318","1.5184","","-0.62%"
"10/08/2018","1.5289","1.5412","1.5446","1.5232","","-0.82%"
"10/05/2018","1.5415","1.5471","1.5516","1.5333","","-0.37%"
"10/04/2018","1.5472","1.5617","1.5619","1.5433","","-0.92%"
"10/03/2018","1.5616","1.5584","1.5618","1.5477","","0.18%"
"10/02/2018","1.5588","1.5621","1.5635","1.5566","","-0.21%"
"10/01/2018","1.5621","1.5678","1.5716","1.5612","","-0.38%"
"09/28/2018","1.5680","1.5623","1.5682","1.5613","","0.36%"
"09/27/2018","1.5623","1.5529","1.5634","1.5477","","0.61%"
"09/26/2018","1.5528","1.5545","1.5583","1.5502","","-0.10%"
"09/25/2018","1.5543","1.5521","1.5550","1.5464","","0.13%"
"09/24/2018","1.5523","1.5583","1.5593","1.5469","","-0.39%"
"09/21/2018","1.5583","1.5620","1.5722","1.5554","","-0.24%"
"09/20/2018","1.5621","1.5516","1.5635","1.5486","","0.67%"
"09/19/2018","1.5517","1.5454","1.5534","1.5418","","0.41%"
"09/18/2018","1.5453","1.5421","1.5514","1.5352","","0.23%"
"09/17/2018","1.5418","1.5575","1.5600","1.5407","","-1.10%"
"09/14/2018","1.5589","1.5536","1.5638","1.5524","","0.33%"
"09/13/2018","1.5537","1.5418","1.5546","1.5403","","0.77%"
"09/12/2018","1.5419","1.5368","1.5498","1.5289","","0.33%"
"09/11/2018","1.5368","1.5338","1.5432","1.5308","","0.20%"
"09/10/2018","1.5337","1.5457","1.5474","1.5266","","-0.88%"
"09/07/2018","1.5473","1.5394","1.5498","1.5344","","0.52%"
"09/06/2018","1.5393","1.5543","1.5549","1.5361","","-0.97%"
"09/05/2018","1.5543","1.5569","1.5629","1.5481","","-0.17%"
"09/04/2018","1.5570","1.5596","1.5654","1.5523","","-0.17%"
"09/03/2018","1.5597","1.5643","1.5683","1.5589","","-0.28%"
"08/31/2018","1.5641","1.5687","1.5703","1.5589","","-0.30%"
"08/30/2018","1.5688","1.5834","1.5845","1.5682","","-0.91%"
"08/29/2018","1.5832","1.5862","1.5880","1.5741","","-0.19%"
"08/28/2018","1.5862","1.5834","1.5898","1.5815","","0.19%"
"08/27/2018","1.5832","1.5898","1.5934","1.5811","","-0.42%"
"08/24/2018","1.5899","1.5875","1.5938","1.5860","","0.14%"
