"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2024","1.8113","1.8260","1.8372","1.8065","","-1.57%"
"07/03/2024","1.8403","1.8379","1.8709","1.8171","","0.15%"
"07/02/2024","1.8376","1.8618","1.8713","1.8200","","-1.26%"
"07/01/2024","1.8610","1.8763","1.8976","1.8393","","-0.77%"
"06/28/2024","1.8755","1.8913","1.8958","1.8232","","-0.82%"
"06/27/2024","1.8910","1.8223","1.9570","1.7837","","3.79%"
"06/26/2024","1.8219","1.8098","1.8942","1.7739","","0.69%"
"06/25/2024","1.8094","1.8137","1.9031","1.7697","","-0.22%"
"06/24/2024","1.8134","1.7944","1.8910","1.7308","","1.09%"
"06/21/2024","1.7938","1.8217","1.8969","1.6710","","-1.50%"
"06/20/2024","1.8211","1.8936","1.9261","1.7603","","-3.83%"
"06/19/2024","1.8936","1.8489","1.9404","1.7825","","2.42%"
"06/18/2024","1.8488","1.7778","1.8757","1.7357","","4.02%"
"06/17/2024","1.7774","1.7561","1.8199","1.7055","","1.22%"
"06/14/2024","1.7560","1.7871","1.8256","1.6554","","-1.72%"
"06/13/2024","1.7868","1.7609","1.8477","1.6948","","1.48%"
"06/12/2024","1.7607","1.7601","1.7694","1.7363","","0.05%"
"06/11/2024","1.7598","1.7671","1.8222","1.7550","","-0.39%"
"06/10/2024","1.7667","1.7601","1.8037","1.7400","","0.87%"
"06/07/2024","1.7515","1.7422","1.7706","1.7377","","0.55%"
"06/06/2024","1.7419","1.7529","1.7685","1.7419","","-0.63%"
"06/05/2024","1.7529","1.7429","1.7709","1.7421","","0.92%"
"06/04/2024","1.7369","1.7478","1.7578","1.7337","","-0.61%"
"06/03/2024","1.7475","1.7406","1.7710","1.7364","","0.40%"
"05/31/2024","1.7405","1.7348","1.7707","1.7170","","0.35%"
"05/30/2024","1.7345","1.7599","1.7653","1.7315","","-1.44%"
"05/29/2024","1.7598","1.7743","1.7818","1.7424","","-0.79%"
"05/28/2024","1.7739","1.7636","1.7882","1.7502","","0.60%"
"05/27/2024","1.7634","1.7527","1.7966","1.7412","","0.65%"
"05/24/2024","1.7520","1.7127","1.7872","1.6997","","2.29%"
"05/23/2024","1.7127","1.7382","1.7771","1.6942","","-1.45%"
"05/22/2024","1.7379","1.7310","1.7533","1.7072","","0.42%"
"05/21/2024","1.7306","1.7235","1.7373","1.7182","","0.44%"
"05/20/2024","1.7231","1.7099","1.7575","1.6968","","0.74%"
"05/17/2024","1.7104","1.7098","1.7201","1.7026","","0.05%"
"05/16/2024","1.7096","1.7010","1.7211","1.6859","","0.86%"
"05/15/2024","1.6950","1.7128","1.7204","1.6938","","-1.03%"
"05/14/2024","1.7127","1.7049","1.7374","1.7006","","0.44%"
"05/13/2024","1.7052","1.6804","1.7196","1.6728","","1.49%"
"05/10/2024","1.6802","1.6798","1.7106","1.6703","","0.03%"
"05/09/2024","1.6797","1.6947","1.6978","1.6731","","-1.01%"
"05/08/2024","1.6968","1.6916","1.7023","1.6829","","0.32%"
"05/07/2024","1.6914","1.6857","1.7005","1.6802","","0.61%"
"05/06/2024","1.6812","1.6713","1.7131","1.6561","","1.18%"
"05/03/2024","1.6616","1.6862","1.6953","1.6210","","-1.44%"
"05/02/2024","1.6858","1.6513","1.7220","1.6348","","2.99%"
"05/01/2024","1.6369","1.6887","1.6989","1.6326","","-3.06%"
"04/30/2024","1.6885","1.6753","1.6958","1.6700","","0.81%"
"04/29/2024","1.6750","1.7184","1.7419","1.6553","","-2.79%"
"04/26/2024","1.7230","1.6875","1.7256","1.6744","","2.09%"
"04/25/2024","1.6877","1.6827","1.6955","1.6789","","0.29%"
"04/24/2024","1.6829","1.6614","1.6909","1.6478","","1.31%"
"04/23/2024","1.6612","1.6517","1.6883","1.6289","","0.93%"
"04/22/2024","1.6459","1.6623","1.6960","1.6414","","-0.98%"
"04/19/2024","1.6622","1.6411","1.6740","1.6200","","1.78%"
"04/18/2024","1.6332","1.6410","1.6524","1.6136","","-0.48%"
"04/17/2024","1.6410","1.6433","1.6499","1.6268","","-0.13%"
"04/16/2024","1.6432","1.6501","1.6600","1.6292","","-0.40%"
"04/15/2024","1.6498","1.6408","1.6535","1.6364","","0.43%"
"04/12/2024","1.6428","1.6425","1.6500","1.6200","","0.50%"
"04/11/2024","1.6346","1.6418","1.6548","1.6118","","-0.41%"
"04/10/2024","1.6414","1.6335","1.6425","1.6230","","0.48%"
"04/09/2024","1.6336","1.6389","1.6589","1.6167","","-0.32%"
"04/08/2024","1.6388","1.6384","1.6548","1.6324","","0.01%"
"04/05/2024","1.6387","1.6407","1.6542","1.6264","","-0.10%"
"04/04/2024","1.6404","1.6437","1.6702","1.6050","","-0.18%"
"04/03/2024","1.6433","1.6389","1.6556","1.6316","","0.28%"
"04/02/2024","1.6387","1.6431","1.6493","1.6235","","-0.25%"
"04/01/2024","1.6428","1.6345","1.6515","1.6335","","0.49%"
"03/29/2024","1.6348","1.6352","1.6432","1.6310","","0.25%"
"03/28/2024","1.6307","1.6368","1.6531","1.6262","","-0.37%"
"03/27/2024","1.6367","1.6389","1.6470","1.6278","","-0.12%"
"03/26/2024","1.6387","1.6299","1.6544","1.6249","","0.55%"
"03/25/2024","1.6297","1.6439","1.6450","1.6183","","-0.85%"
"03/22/2024","1.6436","1.6506","1.6587","1.6119","","-0.39%"
"03/21/2024","1.6501","1.6396","1.6548","1.6287","","0.65%"
"03/20/2024","1.6394","1.6316","1.6479","1.6292","","0.75%"
"03/19/2024","1.6272","1.6262","1.6464","1.6174","","0.37%"
"03/18/2024","1.6212","1.6105","1.6343","1.5963","","0.66%"
"03/15/2024","1.6105","1.6207","1.6255","1.6024","","-0.61%"
"03/14/2024","1.6204","1.6173","1.6238","1.6064","","0.20%"
"03/13/2024","1.6172","1.6092","1.6312","1.5980","","0.45%"
"03/12/2024","1.6100","1.6148","1.6289","1.6046","","-0.28%"
"03/11/2024","1.6146","1.6170","1.6546","1.5869","","0.45%"
"03/08/2024","1.6074","1.6332","1.6375","1.6037","","-1.56%"
"03/07/2024","1.6329","1.6457","1.6463","1.6178","","-0.78%"
"03/06/2024","1.6458","1.6492","1.6693","1.6323","","-0.21%"
"03/05/2024","1.6492","1.6458","1.6631","1.6409","","0.49%"
"03/04/2024","1.6412","1.6369","1.6533","1.6339","","0.26%"
"03/01/2024","1.6369","1.6391","1.6617","1.6251","","-0.13%"
"02/29/2024","1.6390","1.6459","1.6640","1.6267","","-0.42%"
"02/28/2024","1.6459","1.6355","1.6558","1.6303","","0.65%"
"02/27/2024","1.6353","1.6271","1.6434","1.6199","","0.51%"
"02/26/2024","1.6271","1.6072","1.6460","1.5956","","1.22%"
"02/23/2024","1.6074","1.6178","1.6409","1.5660","","-0.62%"
"02/22/2024","1.6174","1.6338","1.6446","1.5841","","-0.98%"
"02/21/2024","1.6334","1.6242","1.6470","1.6066","","0.86%"
"02/20/2024","1.6195","1.6257","1.6520","1.6176","","-0.36%"
"02/19/2024","1.6254","1.6315","1.6476","1.6122","","-0.44%"
"02/16/2024","1.6326","1.6248","1.6385","1.6024","","0.50%"
"02/15/2024","1.6245","1.6429","1.6790","1.6164","","-1.11%"
"02/14/2024","1.6427","1.6480","1.6559","1.6327","","-0.32%"
"02/13/2024","1.6479","1.6371","1.6862","1.6316","","0.67%"
"02/12/2024","1.6370","1.6401","1.6450","1.6307","","-0.22%"
"02/09/2024","1.6406","1.6379","1.6810","1.6176","","0.19%"
"02/08/2024","1.6375","1.6178","1.6454","1.6126","","1.23%"
"02/07/2024","1.6176","1.6343","1.6391","1.6074","","-1.01%"
"02/06/2024","1.6341","1.6420","1.6637","1.6177","","-0.47%"
"02/05/2024","1.6418","1.6302","1.6488","1.6220","","0.70%"
"02/02/2024","1.6304","1.6195","1.6457","1.6068","","0.70%"
"02/01/2024","1.6191","1.6330","1.6394","1.6088","","-0.84%"
"01/31/2024","1.6328","1.6479","1.6602","1.6200","","-0.90%"
"01/30/2024","1.6477","1.6523","1.6682","1.6342","","-0.26%"
"01/29/2024","1.6520","1.6503","1.6892","1.6348","","0.08%"
"01/26/2024","1.6507","1.6582","1.6654","1.6399","","-0.46%"
"01/25/2024","1.6584","1.6622","1.6731","1.6464","","-0.20%"
"01/24/2024","1.6618","1.6693","1.6802","1.6514","","-0.45%"
"01/23/2024","1.6693","1.6831","1.6888","1.6630","","-0.81%"
"01/22/2024","1.6829","1.6816","1.6954","1.6703","","0.17%"
"01/19/2024","1.6800","1.6565","1.6992","1.6542","","1.41%"
"01/18/2024","1.6566","1.6717","1.6797","1.6394","","-0.90%"
"01/17/2024","1.6716","1.6709","1.6964","1.6575","","0.07%"
"01/16/2024","1.6705","1.6612","1.6865","1.6489","","0.57%"
"01/15/2024","1.6611","1.6411","1.6715","1.6383","","1.63%"
"01/12/2024","1.6344","1.6416","1.6525","1.6259","","-0.43%"
"01/11/2024","1.6415","1.6306","1.6594","1.6232","","0.66%"
"01/10/2024","1.6307","1.6118","1.6329","1.6066","","1.19%"
"01/09/2024","1.6116","1.5867","1.6171","1.5681","","1.60%"
"01/08/2024","1.5862","1.5904","1.6092","1.5740","","-0.28%"
"01/05/2024","1.5906","1.5833","1.6048","1.5712","","0.47%"
"01/04/2024","1.5831","1.5575","1.5892","1.5502","","1.65%"
"01/03/2024","1.5574","1.5704","1.5812","1.5375","","-0.81%"
"01/02/2024","1.5701","1.5785","1.5874","1.5511","","-0.52%"
"01/01/2024","1.5783","1.5780","1.5787","1.5780","","-0.13%"
"12/29/2023","1.5804","1.5977","1.6012","1.5495","","-1.07%"
"12/28/2023","1.5975","1.5480","1.6028","1.5330","","3.20%"
"12/27/2023","1.5479","1.5538","1.5687","1.5378","","-0.37%"
"12/26/2023","1.5536","1.5470","1.5583","1.5446","","0.42%"
"12/25/2023","1.5471","1.5458","1.5886","1.5372","","0.08%"
"12/22/2023","1.5458","1.5302","1.5733","1.5218","","1.04%"
"12/21/2023","1.5299","1.5844","1.5931","1.5263","","-3.45%"
"12/20/2023","1.5845","1.5898","1.6064","1.5642","","-0.31%"
"12/19/2023","1.5895","1.5776","1.6125","1.5713","","0.81%"
"12/18/2023","1.5767","1.5681","1.5938","1.5546","","0.55%"
"12/15/2023","1.5680","1.5847","1.6241","1.5352","","-1.05%"
"12/14/2023","1.5846","1.5992","1.6018","1.5580","","-0.90%"
"12/13/2023","1.5990","1.6115","1.6430","1.5889","","-0.76%"
"12/12/2023","1.6112","1.6064","1.6233","1.5912","","0.82%"
"12/11/2023","1.5981","1.5719","1.6303","1.5714","","1.62%"
"12/08/2023","1.5727","1.5592","1.5955","1.5417","","0.89%"
"12/07/2023","1.5589","1.5859","1.5880","1.5337","","-1.42%"
"12/06/2023","1.5814","1.6313","1.6577","1.5747","","-3.02%"
"12/05/2023","1.6307","1.6090","1.6455","1.5823","","1.37%"
"12/04/2023","1.6087","1.6084","1.6274","1.5998","","-0.03%"
"12/01/2023","1.6092","1.6471","1.6735","1.6077","","-2.29%"
"11/30/2023","1.6469","1.6601","1.6745","1.6347","","-0.78%"
"11/29/2023","1.6599","1.6595","1.6770","1.6402","","0.04%"
"11/28/2023","1.6592","1.6693","1.6878","1.6432","","-0.59%"
"11/27/2023","1.6690","1.6737","1.6928","1.6653","","-0.26%"
"11/24/2023","1.6734","1.6885","1.6995","1.6545","","-0.89%"
"11/23/2023","1.6884","1.6916","1.7134","1.6635","","-0.18%"
"11/22/2023","1.6914","1.6817","1.7020","1.6769","","0.59%"
"11/21/2023","1.6815","1.6757","1.6992","1.6574","","0.36%"
"11/20/2023","1.6754","1.6678","1.7153","1.6514","","0.48%"
"11/17/2023","1.6674","1.6867","1.6989","1.6486","","-1.14%"
