"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2019","1.6949","1.7006","1.7017","1.6912","","-0.26%"
"03/05/2019","1.6993","1.6995","1.7062","1.6981","","0.01%"
"03/04/2019","1.6992","1.6954","1.7059","1.6944","","0.14%"
"03/01/2019","1.6969","1.6885","1.7036","1.6879","","0.54%"
"02/28/2019","1.6878","1.6872","1.6932","1.6789","","0.12%"
"02/27/2019","1.6857","1.6830","1.6892","1.6762","","0.24%"
"02/26/2019","1.6817","1.6951","1.6960","1.6787","","-0.77%"
"02/25/2019","1.6947","1.6930","1.6997","1.6882","","0.12%"
"02/22/2019","1.6927","1.6870","1.6953","1.6845","","0.39%"
"02/21/2019","1.6861","1.6881","1.6933","1.6818","","-0.08%"
"02/20/2019","1.6874","1.6838","1.6917","1.6791","","0.27%"
"02/19/2019","1.6829","1.6702","1.6842","1.6668","","0.91%"
"02/18/2019","1.6678","1.6661","1.6730","1.6649","","0.16%"
"02/15/2019","1.6652","1.6572","1.6674","1.6509","","0.51%"
"02/14/2019","1.6567","1.6687","1.6766","1.6474","","-0.68%"
"02/13/2019","1.6680","1.6777","1.6881","1.6669","","-0.50%"
"02/12/2019","1.6763","1.6774","1.6868","1.6679","","-0.03%"
"02/11/2019","1.6768","1.6777","1.6832","1.6730","","0.05%"
"02/08/2019","1.6759","1.6650","1.6803","1.6579","","0.74%"
"02/07/2019","1.6636","1.6697","1.6739","1.6578","","-0.33%"
"02/06/2019","1.6691","1.6757","1.6780","1.6638","","-0.33%"
"02/05/2019","1.6746","1.6761","1.6812","1.6727","","-0.03%"
"02/04/2019","1.6751","1.6724","1.6788","1.6703","","0.26%"
"02/01/2019","1.6708","1.6657","1.6764","1.6571","","0.37%"
"01/31/2019","1.6647","1.6676","1.6683","1.6559","","-0.17%"
"01/30/2019","1.6675","1.6569","1.6685","1.6510","","0.64%"
"01/29/2019","1.6569","1.6521","1.6585","1.6454","","0.35%"
"01/28/2019","1.6511","1.6592","1.6686","1.6461","","-0.55%"
"01/25/2019","1.6603","1.6679","1.6737","1.6570","","-0.46%"
"01/24/2019","1.6680","1.6580","1.6702","1.6549","","0.60%"
"01/23/2019","1.6580","1.6442","1.6616","1.6432","","0.80%"
"01/22/2019","1.6448","1.6513","1.6526","1.6400","","-0.43%"
"01/21/2019","1.6519","1.6594","1.6600","1.6488","","-0.42%"
"01/18/2019","1.6589","1.6453","1.6594","1.6422","","0.76%"
"01/17/2019","1.6464","1.6448","1.6518","1.6320","","0.09%"
"01/16/2019","1.6450","1.6219","1.6477","1.6161","","1.46%"
"01/15/2019","1.6213","1.6141","1.6256","1.6128","","0.46%"
"01/14/2019","1.6139","1.6209","1.6240","1.6057","","-0.54%"
"01/11/2019","1.6227","1.6210","1.6234","1.6123","","0.09%"
"01/10/2019","1.6213","1.6212","1.6236","1.6034","","-0.06%"
"01/09/2019","1.6223","1.6253","1.6318","1.6122","","-0.20%"
"01/08/2019","1.6255","1.6302","1.6320","1.6183","","-0.30%"
"01/07/2019","1.6304","1.6051","1.6322","1.5876","","1.63%"
"01/04/2019","1.6042","1.5661","1.6079","1.5641","","2.39%"
"01/03/2019","1.5667","1.5773","1.5797","1.5213","","-0.67%"
"01/02/2019","1.5773","1.5731","1.5928","1.5615","","0.22%"
"01/01/2019","1.5738","1.5717","1.5749","1.5717","","0.13%"
"12/31/2018","1.5718","1.5825","1.5889","1.5713","","-0.94%"
"12/28/2018","1.5867","1.5978","1.5989","1.5840","","-0.67%"
"12/27/2018","1.5974","1.6206","1.6209","1.5847","","-1.45%"
"12/26/2018","1.6209","1.6064","1.6220","1.5920","","0.94%"
"12/25/2018","1.6058","1.6088","1.6135","1.5989","","-0.23%"
"12/24/2018","1.6095","1.6104","1.6282","1.6041","","-0.28%"
"12/21/2018","1.6140","1.6277","1.6395","1.6110","","-0.89%"
"12/20/2018","1.6285","1.6672","1.6729","1.6140","","-2.32%"
"12/19/2018","1.6672","1.6690","1.6785","1.6562","","-0.08%"
"12/18/2018","1.6686","1.6917","1.6946","1.6655","","-1.34%"
"12/17/2018","1.6913","1.6951","1.7077","1.6875","","-0.32%"
"12/14/2018","1.6967","1.7170","1.7181","1.6959","","-1.08%"
"12/13/2018","1.7153","1.7041","1.7171","1.7031","","0.58%"
"12/12/2018","1.7054","1.7083","1.7164","1.7027","","-0.10%"
"12/11/2018","1.7071","1.6999","1.7107","1.6945","","0.44%"
"12/10/2018","1.6996","1.6961","1.7035","1.6865","","0.14%"
"12/07/2018","1.6973","1.6811","1.7101","1.6806","","0.85%"
"12/06/2018","1.6830","1.7041","1.7045","1.6756","","-1.05%"
"12/05/2018","1.7008","1.6869","1.7041","1.6840","","0.85%"
"12/04/2018","1.6865","1.7094","1.7094","1.6831","","-1.31%"
"12/03/2018","1.7089","1.6921","1.7191","1.6921","","1.03%"
"11/30/2018","1.6914","1.7138","1.7176","1.6897","","-1.23%"
"11/29/2018","1.7124","1.6948","1.7196","1.6879","","1.04%"
"11/28/2018","1.6947","1.6962","1.7062","1.6853","","-0.06%"
"11/27/2018","1.6958","1.6917","1.7092","1.6883","","0.22%"
"11/26/2018","1.6920","1.7052","1.7066","1.6814","","-0.81%"
"11/23/2018","1.7059","1.7205","1.7236","1.6984","","-0.87%"
"11/22/2018","1.7209","1.7211","1.7281","1.7165","","0.05%"
"11/21/2018","1.7200","1.7044","1.7251","1.7013","","0.92%"
"11/20/2018","1.7044","1.7152","1.7178","1.6983","","-0.63%"
"11/19/2018","1.7152","1.7088","1.7189","1.7025","","0.30%"
"11/16/2018","1.7100","1.7263","1.7275","1.7039","","-0.87%"
"11/15/2018","1.7250","1.6937","1.7260","1.6870","","1.85%"
"11/14/2018","1.6937","1.6697","1.7006","1.6678","","1.36%"
"11/13/2018","1.6709","1.6769","1.6893","1.6695","","-0.35%"
"11/12/2018","1.6767","1.6753","1.6966","1.6736","","0.10%"
"11/09/2018","1.6750","1.7055","1.7069","1.6698","","-1.75%"
"11/08/2018","1.7048","1.7141","1.7190","1.7013","","-0.54%"
"11/07/2018","1.7140","1.7137","1.7217","1.7066","","-0.06%"
"11/06/2018","1.7151","1.7146","1.7230","1.7122","","0.09%"
"11/05/2018","1.7135","1.7105","1.7168","1.7029","","0.13%"
"11/02/2018","1.7113","1.7172","1.7260","1.7069","","-0.29%"
"11/01/2018","1.7162","1.7141","1.7224","1.7110","","0.10%"
"10/31/2018","1.7144","1.7277","1.7300","1.7121","","-0.74%"
"10/30/2018","1.7272","1.7067","1.7279","1.7046","","1.20%"
"10/29/2018","1.7068","1.7042","1.7172","1.6968","","0.20%"
"10/26/2018","1.7034","1.7125","1.7165","1.6921","","-0.58%"
"10/25/2018","1.7133","1.7102","1.7210","1.6987","","0.19%"
"10/24/2018","1.7100","1.7164","1.7349","1.7071","","-0.37%"
"10/23/2018","1.7163","1.7303","1.7310","1.7063","","-0.81%"
"10/22/2018","1.7304","1.7172","1.7364","1.7104","","0.70%"
"10/19/2018","1.7184","1.7057","1.7240","1.7026","","0.79%"
"10/18/2018","1.7049","1.7192","1.7204","1.7009","","-0.83%"
"10/17/2018","1.7192","1.7175","1.7212","1.7075","","0.10%"
"10/16/2018","1.7174","1.7012","1.7200","1.7012","","0.90%"
"10/15/2018","1.7020","1.6972","1.7140","1.6917","","0.21%"
"10/12/2018","1.6984","1.6921","1.7068","1.6860","","0.40%"
"10/11/2018","1.6917","1.6787","1.7024","1.6727","","0.77%"
"10/10/2018","1.6788","1.7055","1.7155","1.6768","","-1.57%"
"10/09/2018","1.7055","1.6993","1.7104","1.6920","","0.34%"
"10/08/2018","1.6998","1.7068","1.7096","1.6898","","-0.40%"
"10/05/2018","1.7067","1.6994","1.7145","1.6990","","0.39%"
"10/04/2018","1.7001","1.7389","1.7391","1.6964","","-2.20%"
"10/03/2018","1.7384","1.7365","1.7432","1.7303","","0.09%"
"10/02/2018","1.7368","1.7523","1.7544","1.7311","","-0.89%"
"10/01/2018","1.7524","1.7320","1.7573","1.7309","","1.13%"
"09/28/2018","1.7328","1.7293","1.7377","1.7205","","0.25%"
"09/27/2018","1.7284","1.7112","1.7386","1.7049","","1.00%"
"09/26/2018","1.7113","1.7162","1.7186","1.7088","","-0.29%"
"09/25/2018","1.7162","1.7099","1.7216","1.7088","","0.30%"
"09/24/2018","1.7110","1.6951","1.7154","1.6906","","1.00%"
"09/21/2018","1.6941","1.6960","1.7054","1.6856","","-0.11%"
"09/20/2018","1.6960","1.6824","1.7006","1.6741","","0.77%"
"09/19/2018","1.6830","1.6686","1.6853","1.6642","","0.85%"
"09/18/2018","1.6688","1.6435","1.6704","1.6379","","1.60%"
"09/17/2018","1.6426","1.6455","1.6494","1.6374","","-0.27%"
"09/14/2018","1.6470","1.6397","1.6580","1.6291","","0.41%"
"09/13/2018","1.6402","1.6125","1.6438","1.6113","","1.71%"
"09/12/2018","1.6127","1.6100","1.6235","1.5978","","0.23%"
"09/11/2018","1.6090","1.5747","1.6091","1.5730","","2.15%"
"09/10/2018","1.5752","1.5871","1.5938","1.5739","","-0.86%"
"09/07/2018","1.5888","1.5993","1.6101","1.5842","","-0.67%"
"09/06/2018","1.5995","1.6357","1.6407","1.5926","","-2.17%"
"09/05/2018","1.6350","1.6357","1.6413","1.6245","","-0.08%"
"09/04/2018","1.6363","1.6353","1.6405","1.6253","","0.10%"
"09/03/2018","1.6347","1.6447","1.6463","1.6286","","-0.62%"
"08/31/2018","1.6449","1.6261","1.6486","1.6249","","1.15%"
"08/30/2018","1.6262","1.6399","1.6461","1.6258","","-0.97%"
"08/29/2018","1.6421","1.6418","1.6488","1.6322","","0.23%"
"08/28/2018","1.6383","1.6482","1.6540","1.6350","","-0.61%"
"08/27/2018","1.6483","1.6572","1.6590","1.6408","","-0.59%"
"08/24/2018","1.6581","1.6308","1.6603","1.6286","","1.64%"
"08/23/2018","1.6314","1.6242","1.6440","1.6067","","0.42%"
"08/22/2018","1.6246","1.6402","1.6405","1.6141","","-0.99%"
"08/21/2018","1.6409","1.6441","1.6471","1.6319","","-0.16%"
"08/20/2018","1.6436","1.6489","1.6520","1.6385","","-0.33%"
"08/17/2018","1.6491","1.6602","1.6620","1.6314","","-0.63%"
"08/16/2018","1.6595","1.6457","1.6659","1.6393","","0.82%"
"08/15/2018","1.6460","1.6759","1.6818","1.6329","","-1.80%"
"08/14/2018","1.6761","1.6325","1.6778","1.6314","","2.65%"
