,Attraction,Area,Category,Number of Visitors per year,Latitude,Longitude
0,Tokyo Disneyland,Chiba,Theme Parks,Less than 1 Million,"35°37'34.79""N","139°52'29.99""E"
1,Tokyo DisneySea,Chiba,Theme Parks,Less than 1 Million,"35°37'36""N","139°53'06""E"
2,Shinjuku Gyoen National Garden,Tokyo,Natural Parks and Gardens,Between 5 and 10 Millions,"35°41'06""N","139°42'36""E"
3,Senso-ji Temple,Tokyo,Temples and Shrines,Less than 1 Million,"35°42'53""N","139°47'47""E"
4,Fushimi Inari Taisha,Kyoto,Temples and Shrines,Between 1 and 5 Millions,"34°58'03""N","135°46'45""E"
5,Kinkaku-ji (Golden Pavilion),Kyoto,Temples and Shrines,Between 1 and 5 Millions,"35°02'21""N","135°43'45""E"
6,Mount Fuji,Honshu,Natural Parks and Gardens,Between 5 and 10 Millions,"35°21'38""N","138°43'38""E"
7,Arashiyama Bamboo Grove,Kyoto,Natural Parks and Gardens,Between 5 and 10 Millions,"35°01'00""N","135°40'16""E"
8,Tokyo Skytree,Tokyo,"Monuments, Sculptures and Constructions",Less than 1 Million,"35°42'36""N","139°48'38""E"
9,Nara Park,Nara,Natural Parks and Gardens,Between 5 and 10 Millions,"34°41'06""N ","135°50'34""E"
10,Hiroshima Peace Memorial Park,Hiroshima,"Monuments, Sculptures and Constructions",Between 1 and 5 Millions,"34°23'33""N","132°27'07""E"
11,Osaka Castle,Osaka,"Monuments, Sculptures and Constructions",Between 1 and 5 Millions,"34°41'14""N","135°31'33""E"
12,Ueno Park,Tokyo,Natural Parks and Gardens,Between 5 and 10 Millions,"35°42'53""N","139°46'24""E"
13,Himeji Castle,Himeji,"Monuments, Sculptures and Constructions",Between 5 and 10 Millions,"34°50'22""N","134°41'38""E"
14,Meiji Shrine,Tokyo,Temples and Shrines,Between 1 and 5 Millions,"35°40'35""N","139°41'57""E"
15,Nikko Toshogu Shrine,Tochigi,Temples and Shrines,Between 5 and 10 Millions,"36°45'29""N","139°35'55""E"
