Area(23 Markets),Country/Area(23 Markets),Purpose_of_visit_to_Japan,Year,Visitor Arrivals
East Asia,China,Tourism,1992,29.147
East Asia,China,Tourism,1993,26.454
East Asia,China,Tourism,1994,24.550
East Asia,China,Tourism,1995,25.489
East Asia,China,Tourism,1996,29.291
East Asia,China,Tourism,1997,33.431
East Asia,China,Tourism,1998,35.616
East Asia,China,Tourism,1999,37.153
East Asia,China,Tourism,2000,45.270
East Asia,China,Tourism,2001,72.118
East Asia,China,Tourism,2002,101.299
East Asia,China,Tourism,2003,95.991
East Asia,China,Tourism,2004,189.692
East Asia,China,Tourism,2005,201.940
East Asia,China,Tourism,2006,297.025
East Asia,China,Tourism,2007,407.286
East Asia,China,Tourism,2008,455.728
East Asia,China,Tourism,2009,481.696
East Asia,China,Tourism,2010,831.652
East Asia,China,Tourism,2011,453.182
East Asia,China,Tourism,2012,829.206
East Asia,China,Tourism,2013,704.737
East Asia,China,Tourism,2014,1.753.572
East Asia,China,Tourism,2015,4.237.920
East Asia,China,Tourism,2016,5.535.125
East Asia,China,Tourism,2017,6.447.740
East Asia,China,Tourism,2018,7.426.173
East Asia,China,Tourism,2019,8.575.500
East Asia,China,Tourism,2020,865.156
East Asia,China,Tourism,2021,3.851
East Asia,China,Tourism,2022,42.852
East Asia,China,Tourism,2023,1.799.723
East Asia,China,Tourism,2024,1.077.675
East Asia,Hong Kong,Tourism,1992,136.040
East Asia,Hong Kong,Tourism,1993,113.366
East Asia,Hong Kong,Tourism,1994,109.391
East Asia,Hong Kong,Tourism,1995,63.301
East Asia,Hong Kong,Tourism,1996,133.700
East Asia,Hong Kong,Tourism,1997,227.909
East Asia,Hong Kong,Tourism,1998,318.827
East Asia,Hong Kong,Tourism,1999,215.463
East Asia,Hong Kong,Tourism,2000,205.315
East Asia,Hong Kong,Tourism,2001,226.862
East Asia,Hong Kong,Tourism,2002,255.294
East Asia,Hong Kong,Tourism,2003,228.073
East Asia,Hong Kong,Tourism,2004,271.492
East Asia,Hong Kong,Tourism,2005,269.123
East Asia,Hong Kong,Tourism,2006,322.413
East Asia,Hong Kong,Tourism,2007,399.681
East Asia,Hong Kong,Tourism,2008,513.185
East Asia,Hong Kong,Tourism,2009,418.169
East Asia,Hong Kong,Tourism,2010,473.031
East Asia,Hong Kong,Tourism,2011,333.773
East Asia,Hong Kong,Tourism,2012,447.486
East Asia,Hong Kong,Tourism,2013,708.997
East Asia,Hong Kong,Tourism,2014,886.308
East Asia,Hong Kong,Tourism,2015,1.480.564
East Asia,Hong Kong,Tourism,2016,1.793.358
East Asia,Hong Kong,Tourism,2017,2.180.760
East Asia,Hong Kong,Tourism,2018,2.156.354
East Asia,Hong Kong,Tourism,2019,2.237.316
East Asia,Hong Kong,Tourism,2020,337.616
East Asia,Hong Kong,Tourism,2021,377
East Asia,Hong Kong,Tourism,2022,256.631
East Asia,Hong Kong,Tourism,2023,2.077.319
East Asia,Hong Kong,Tourism,2023,611.703
East Asia,South Korea,Tourism,1992,502.871
East Asia,South Korea,Tourism,1993,473.318
East Asia,South Korea,Tourism,1994,511.753
East Asia,South Korea,Tourism,1995,459.166
East Asia,South Korea,Tourism,1996,565.034
East Asia,South Korea,Tourism,1997,587.299
East Asia,South Korea,Tourism,1998,380.279
East Asia,South Korea,Tourism,1999,516.053
East Asia,South Korea,Tourism,2000,603.697
East Asia,South Korea,Tourism,2001,653.370
East Asia,South Korea,Tourism,2002,756.991
East Asia,South Korea,Tourism,2003,917.590
East Asia,South Korea,Tourism,2004,1.037.483
East Asia,South Korea,Tourism,2005,1.215.766
East Asia,South Korea,Tourism,2006,1.614.745
East Asia,South Korea,Tourism,2007,2.084.195
East Asia,South Korea,Tourism,2008,1.892.654
East Asia,South Korea,Tourism,2009,1.153.935
East Asia,South Korea,Tourism,2010,1.963.002
East Asia,South Korea,Tourism,2011,1.199.020
East Asia,South Korea,Tourism,2012,1.569.278
East Asia,South Korea,Tourism,2013,1.974.117
East Asia,South Korea,Tourism,2014,2.285.069
East Asia,South Korea,Tourism,2015,3.519.608
East Asia,South Korea,Tourism,2016,4.593.527
East Asia,South Korea,Tourism,2017,6.593.328
East Asia,South Korea,Tourism,2018,6.977.812
East Asia,South Korea,Tourism,2019,5.036.943
East Asia,South Korea,Tourism,2020,391.046
East Asia,South Korea,Tourism,2021,2.089
East Asia,South Korea,Tourism,2022,858.828
East Asia,South Korea,Tourism,2023,6.640.223
East Asia,South Korea,Tourism,2024,2.242.203
East Asia,Taiwan,Tourism,1992,622.707
East Asia,Taiwan,Tourism,1993,581.958
East Asia,Taiwan,Tourism,1994,562.053
East Asia,Taiwan,Tourism,1995,490.080
East Asia,Taiwan,Tourism,1996,628.192
East Asia,Taiwan,Tourism,1997,725.785
East Asia,Taiwan,Tourism,1998,744.089
East Asia,Taiwan,Tourism,1999,829.969
East Asia,Taiwan,Tourism,2000,807.261
East Asia,Taiwan,Tourism,2001,708.065
East Asia,Taiwan,Tourism,2002,769.074
East Asia,Taiwan,Tourism,2003,681.490
East Asia,Taiwan,Tourism,2004,962.168
East Asia,Taiwan,Tourism,2005,1.160.402
